County,cve,outbreak,enrollment,population,PHR,pct_hispanic,pct_black,pct_white,pct_poverty,pct_uninsured,pct_college,median_income,pct_foreign_born
Anderson,2.54,0,7808,60303,4,19.6,18.6,58.3,13.5,18.5,15.4,NA,1.1
Andrews,1.91,3,4209,19823,9,57.5,1.6,57.7,14.2,22.4,17.7,NA,1.2
Angelina,2.5,0,15649,87492,5,23.5,12.1,63.4,11.5,17.7,17.9,NA,1.2
Aransas,2.06,0,2913,25943,11,27.1,1.3,76.9,10.7,12.8,28.8,NA,1.5
Archer,2.7,0,2110,8976,2,9.4,1.5,88.9,4.5,13.9,25.4,NA,0.8
Armstrong,5.24,0,297,1806,1,12,0.6,89.9,6,4.2,27.2,NA,0.5
Atascosa,1.08,1,9046,52314,8,65.4,1.2,46.4,13.6,19.5,15.7,NA,1.2
Austin,3.55,0,6290,32958,6,27.8,7.9,66.6,10.6,16.7,25.1,NA,1.1
Bailey,0.8,2,1330,7057,1,66,0.9,71.3,7.4,28.6,15.2,NA,3.7
Bandera,3.78,0,2461,22918,8,21,1.2,77.2,8.5,13.3,27.2,NA,1.5
Bastrop,2.09,0,21555,116842,7,45,5.8,54.2,7,21.8,25,NA,1.4
Baylor,0.88,0,594,3529,2,13.1,1.2,82.5,16,20.6,25.3,NA,1.6
Bee,1.48,0,5097,30125,11,61.8,7.3,44.2,11.8,18.8,14,NA,0.8
Bell,2.42,0,77364,402069,7,26.3,22.9,49.1,11.2,14,27.2,NA,5.1
Bexar,2.01,1,353807,2167567,8,59.7,7.9,42.3,11.2,16,31.8,NA,2.6
Blanco,7.22,0,1809,13682,7,18.6,1.1,80.4,7.4,14.7,35.4,NA,0.9
Borden,8.15,1,249,642,1,8.4,0.6,90.5,9,2.7,36.9,NA,1
Bosque,3.66,0,2805,18703,7,19.1,1.2,77.1,7.1,17.6,20.4,NA,0.8
Bowie,2.79,0,17435,92206,4,8.6,24.8,64.1,11.6,13.4,23.6,NA,0.8
Brazoria,0.47,0,74745,412599,6,31.6,16.2,47.7,5.5,12.7,33.1,NA,1.5
Brazos,1.53,0,31112,249858,7,27.4,10.5,63.2,12.2,12.2,43,NA,1.6
Brewster,6.64,1,1093,9262,10,42.1,0.6,68.9,4,15.4,45.5,NA,1
Briscoe,9.79,0,204,1456,1,26.1,6.1,83.7,14,19.8,23.1,NA,0.5
Brooks,0.5,0,1180,6645,11,90.1,0.6,24.1,13.4,21.4,17,NA,0.8
Brown,3.05,1,6109,38346,2,22.5,3.7,74.8,13,15.5,20.2,NA,0.6
Burleson,1.5,0,3128,20660,7,22.7,10.6,69.6,9,12.6,23.5,NA,0.3
Burnet,7.13,0,7210,57023,7,23.4,1.2,79.3,5.7,18.9,28.5,NA,1.1
Caldwell,1.8,0,8463,52987,7,57,4.9,47.1,7.5,21.4,19.3,NA,1.2
Calhoun,1.13,0,3514,20228,8,49.4,2.6,55.5,5.8,6.8,20.1,NA,0.7
Callahan,4.71,0,2608,14746,2,11.2,1.2,83.5,6.2,15.5,24,NA,0.8
Cameron,0.47,0,84131,433199,11,89.3,0.6,35.4,21.3,25.8,22.1,NA,1.2
Camp,1.69,0,2245,12881,4,27.4,15.6,59.1,13.7,19.5,22.2,NA,1.3
Carson,5.23,1,1072,5648,1,10.9,0.7,90.3,3.6,11.7,26.4,NA,0.3
