feature,area,question,total_yes_percent,total_no_percent,total_a_doctor_s_office_or_health_maintenance_organization_hmo_percent,total_a_health_department_percent,total_a_hospital_example_inpatient_percent,total_a_school_percent,total_a_senior_recreation_or_community_center_percent,total_a_store_examples_supermarket_drug_store_percent,total_an_emergency_room_percent,total_another_type_of_clinic_or_health_center_example_a_community_health_center_percent,total_received_vaccination_in_canada_mexico_percent,total_workplace_percent,total_some_other_kind_of_place_percent,total_current_percent,total_former_percent,total_never_percent,total_obese_percent,total_overweight_percent,total_neither_overweight_or_obese_percent,total_normal_percent,total_underweight_percent,total_extremely_obese_percent,total_within_the_past_year_anytime_less_than_12_months_ago_percent,total_within_the_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_the_past_3_years_2_years_but_less_than_3_years_ago_percent,total_within_the_past_5_years_3_years_but_less_than_5_years_ago_percent,total_5_or_more_years_ago_percent,total_10_or_more_years_ago_percent,total_within_the_past_10_years_5_years_but_less_than_10_years_ago_percent,total_yes_but_female_told_only_during_pregnancy_percent,total_no_pre_diabetes_or_borderline_diabetes_percent,total_41_percent,total_41_64_percent,total_65_percent,total_within_the_past_month_anytime_less_than_1_month_ago_percent,total_within_the_past_year_1_month_but_less_than_12_months_ago_percent,total_2_or_more_years_ago_percent,total_yes_only_one_percent,total_more_than_one_percent,total_within_past_year_anytime_less_than_12_months_ago_percent,total_within_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_past_5_years_2_years_but_less_than_5_years_ago_percent,total_poor_percent,total_fair_percent,total_good_percent,total_very_good_percent,total_excellent_percent,total_fair_or_poor_health_percent,total_good_or_better_health_percent,total_5_or_more_days_percent,total_none_to_less_than_5_days_percent,total_14_or_more_days_percent,total_none_to_less_than_14_days_percent,total_1_to_4_miles_percent,total_5_to_9_miles_percent,total_10_to_14_miles_percent,total_15_to_20_miles_percent,total_21_to_50_miles_percent,total_more_than_50_miles_percent,total_none_or_less_than_5_days_percent,total_none_or_less_than_14_days_percent,total_1_to_5_percent,total_6_or_more_but_not_all_percent,total_all_percent,total_none_percent,total_within_the_past_5_years_2_years_but_less_than_5_years_ago_percent,total_yes_during_pregnancy_percent,total_always_percent,total_nearly_always_percent,total_sometimes_percent,total_seldom_percent,total_never_drive_or_ride_in_a_car_percent,total_every_day_percent,total_some_days_percent,total_not_at_all_percent,total_current_smoker_every_day_percent,total_current_smoker_some_days_percent,total_former_smoker_percent,total_never_smoker_percent,total_within_the_past_month_less_than_1_month_ago_percent,total_within_the_past_3_months_1_month_but_less_than_3_months_ago_percent,total_within_the_past_6_months_3_months_but_le8ss_than_6_months_ago_percent,total_within_the_past_year_6_months_but_less_than_1_year_ago_percent,total_within_the_past_5_years_1_year_but_less_than_5_years_ago_percent,total_10_years_or_more_percent,total_never_smoked_regularly_percent
"Pneumonia Shot, 18+",1,Ever Had Pneumonia Shot,30.2%,69.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pneumonia Shot, 65+",1,"Ever Had Pneumonia Shot, Age 65+",71.9%,28.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu Shot in Past Year,1,Flu Shot in the Past Year,34.1%,65.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flu Shot, 18-64",1,"Flu Shot in the Past Year, Age 18-64",26.2%,73.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flu Shot, 65+",1,"Flu Shot in the Past Year, Age 65+",70.2%,29.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu Vaccine Location,1,Location of Flu Shot,,,31.6%,0.4%,9.1%,0.0%,2.5%,22.9%,0.0%,7.3%,0.0%,12.2%,14.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Drinking Past Month,1,Any Drinking in the Past Month,40.8%,59.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,1,Binge Drinking in the Past Month,13.7%,86.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking - Females,1,"Binge Drinking or Heavy Alcohol Consumption, Females Age 18-44",16.9%,83.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,1,Heavy Alcohol Consumption,4.8%,95.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
