"cluster","county"
3,"Anderson"
2,"Andrews"
3,"Angelina"
3,"Aransas"
3,"Archer"
3,"Armstrong"
2,"Atascosa"
3,"Austin"
2,"Bailey"
3,"Bandera"
3,"Bastrop"
3,"Baylor"
2,"Bee"
1,"Bell"
1,"Bexar"
3,"Blanco"
3,"Borden"
3,"Bosque"
3,"Bowie"
1,"Brazoria"
1,"Brazos"
3,"Brewster"
3,"Briscoe"
2,"Brooks"
3,"Brown"
3,"Burleson"
3,"Burnet"
2,"Caldwell"
3,"Calhoun"
3,"Callahan"
2,"Cameron"
3,"Camp"
3,"Carson"
3,"Cass"
2,"Castro"
3,"Chambers"
3,"Cherokee"
3,"Childress"
3,"Clay"
2,"Cochran"
3,"Coke"
3,"Coleman"
1,"Collin"
3,"Collingsworth"
3,"Colorado"
3,"Comal"
3,"Comanche"
3,"Concho"
3,"Cooke"
3,"Coryell"
3,"Cottle"
2,"Crane"
3,"Crockett"
2,"Crosby"
2,"Culberson"
2,"Dallam"
1,"Dallas"
2,"Dawson"
2,"Deaf Smith"
3,"Delta"
1,"Denton"
3,"Dickens"
2,"Dimmit"
3,"Donley"
2,"Duval"
3,"Eastland"
2,"Ector"
3,"Edwards"
2,"El Paso"
1,"Ellis"
3,"Erath"
3,"Falls"
3,"Fannin"
3,"Fayette"
3,"Fisher"
2,"Floyd"
3,"Foard"
1,"Fort Bend"
3,"Franklin"
3,"Freestone"
2,"Frio"
2,"Gaines"
1,"Galveston"
3,"Garza"
3,"Gillespie"
3,"Glasscock"
3,"Goliad"
2,"Gonzales"
3,"Gray"
3,"Grayson"
3,"Gregg"
3,"Grimes"
3,"Guadalupe"
2,"Hale"
3,"Hall"
3,"Hamilton"
2,"Hansford"
3,"Hardeman"
3,"Hardin"
1,"Harris"
3,"Harrison"
3,"Hartley"
3,"Haskell"
1,"Hays"
3,"Hemphill"
3,"Henderson"
2,"Hidalgo"
3,"Hill"
2,"Hockley"
3,"Hood"
3,"Hopkins"
3,"Houston"
3,"Howard"
2,"Hudspeth"
3,"Hunt"
3,"Hutchinson"
3,"Irion"
3,"Jack"
3,"Jackson"
3,"Jasper"
3,"Jeff Davis"
3,"Jefferson"
2,"Jim Hogg"
2,"Jim Wells"
3,"Johnson"
3,"Jones"
2,"Karnes"
3,"Kaufman"
3,"Kendall"
2,"Kenedy"
3,"Kent"
3,"Kerr"
3,"Kimble"
3,"King"
3,"Kinney"
2,"Kleberg"
3,"Knox"
2,"La Salle"
3,"Lamar"
2,"Lamb"
3,"Lampasas"
3,"Lavaca"
3,"Lee"
3,"Leon"
2,"Liberty"
3,"Limestone"
3,"Lipscomb"
3,"Live Oak"
3,"Llano"
3,"Loving"
3,"Lubbock"
3,"Lynn"
3,"Madison"
3,"Marion"
3,"Martin"
3,"Mason"
2,"Matagorda"
2,"Maverick"
3,"Medina"
3,"Menard"
3,"Midland"
3,"Milam"
3,"Mills"
3,"Mitchell"
3,"Montague"
1,"Montgomery"
2,"Moore"
3,"Morris"
3,"Motley"
3,"Nacogdoches"
3,"Navarro"
3,"Newton"
3,"Nolan"
2,"Nueces"
2,"Ochiltree"
3,"Oldham"
3,"Orange"
3,"Palo Pinto"
3,"Panola"
3,"Parker"
2,"Parmer"
2,"Pecos"
3,"Polk"
2,"Potter"
2,"Presidio"
3,"Rains"
3,"Randall"
2,"Reagan"
3,"Real"
3,"Red River"
2,"Reeves"
3,"Refugio"
3,"Roberts"
3,"Robertson"
1,"Rockwall"
3,"Runnels"
3,"Rusk"
3,"Sabine"
3,"San Augustine"
3,"San Jacinto"
2,"San Patricio"
3,"San Saba"
3,"Schleicher"
3,"Scurry"
3,"Shackelford"
3,"Shelby"
3,"Sherman"
3,"Smith"
3,"Somervell"
2,"Starr"
3,"Stephens"
3,"Sterling"
3,"Stonewall"
2,"Sutton"
2,"Swisher"
1,"Tarrant"
3,"Taylor"
3,"Terrell"
2,"Terry"
3,"Throckmorton"
2,"Titus"
3,"Tom Green"
1,"Travis"
3,"Trinity"
3,"Tyler"
3,"Upshur"
2,"Upton"
2,"Uvalde"
2,"Val Verde"
3,"Van Zandt"
3,"Victoria"
3,"Walker"
3,"Waller"
2,"Ward"
3,"Washington"
2,"Webb"
3,"Wharton"
3,"Wheeler"
3,"Wichita"
3,"Wilbarger"
2,"Willacy"
1,"Williamson"
3,"Wilson"
2,"Winkler"
3,"Wise"
3,"Wood"
2,"Yoakum"
3,"Young"
2,"Zapata"
2,"Zavala"
