variable,phr,percent
any_cancer_no,1,89.9
any_cancer_yes,1,10.1
any_drinking_past_month_no,1,59.2
any_drinking_past_month_no,8,45.6
any_drinking_past_month_no,11,61.4
any_drinking_past_month_yes,1,40.8
any_drinking_past_month_yes,8,54.4
any_drinking_past_month_yes,11,38.6
arthritis_no,8,79.4
arthritis_yes,8,20.6
asthma_status_current,1,6.3
asthma_status_current,8,7.8
asthma_status_current,11,5.8
asthma_status_former,1,3.3
asthma_status_former,8,4.6
asthma_status_former,11,3.5
asthma_status_never,1,90.3
asthma_status_never,8,87.6
asthma_status_never,11,90.7
binge_drinking_no,1,86.3
binge_drinking_no,8,81.3
binge_drinking_no,11,84.6
binge_drinking_yes,1,13.7
binge_drinking_yes,8,18.7
binge_drinking_yes,11,15.4
blind_no,11,94.1
blind_yes,11,5.9
bmi_4_categories_obese,1,32.5
bmi_4_categories_obese,8,33
bmi_4_categories_obese,11,41.7
bmi_4_categories_overweight,1,35.3
bmi_4_categories_overweight,8,38.5
bmi_4_categories_overweight,11,33
bmi_4_categories_recommended_range,1,30
bmi_4_categories_recommended_range,8,27.6
bmi_4_categories_recommended_range,11,24.3
bmi_4_categories_underweight,1,2.1
bmi_4_categories_underweight,8,0.9
bmi_4_categories_underweight,11,1
copd_no,1,95
copd_yes,1,5
coronary_heart_disease_no,1,95.7
coronary_heart_disease_no,8,96.1
coronary_heart_disease_no,11,95.3
coronary_heart_disease_yes,1,4.3
coronary_heart_disease_yes,8,3.9
coronary_heart_disease_yes,11,4.7
current_asthma_no,1,34.7
current_asthma_no,8,37.3
current_asthma_no,11,37.6
current_asthma_yes,1,65.3
current_asthma_yes,8,62.7
current_asthma_yes,11,62.4
current_smoker_no,1,81.3
current_smoker_no,8,85.4
current_smoker_no,11,85.5
current_smoker_yes,1,18.7
current_smoker_yes,8,14.6
current_smoker_yes,11,14.5
dentist_visit_past_year_no,1,45.5
dentist_visit_past_year_no,8,37.7
dentist_visit_past_year_no,11,47.3
dentist_visit_past_year_yes,1,54.5
dentist_visit_past_year_yes,8,62.3
dentist_visit_past_year_yes,11,52.7
diabetes_eye_exam_2_or_more_years,8,12.5
diabetes_eye_exam_never,8,9.3
diabetes_eye_exam_within_the_past_2_years,8,9.3
diabetes_eye_exam_within_the_past_month,8,17.6
diabetes_eye_exam_within_the_past_year,8,51.3
diabetes_no_borderline_or_pre_diabetes,1,0.3
diabetes_no_borderline_or_pre_diabetes,8,1.7
diabetes_no_borderline_or_pre_diabetes,11,1
diabetes_status_no,1,89.9
diabetes_status_no,1,90.9
diabetes_status_no,8,82.4
diabetes_status_no,8,85.5
diabetes_status_no,11,81.1
diabetes_status_no,11,83.5
diabetes_status_yes,1,9.1
diabetes_status_yes,1,9.1
diabetes_status_yes,8,14.5
diabetes_status_yes,8,14.5
diabetes_status_yes,11,16.5
diabetes_status_yes,11,16.5
diabetes_test_no,1,52.2
diabetes_test_no,8,45.6
diabetes_test_no,11,45.2
diabetes_test_yes,1,47.8
diabetes_test_yes,8,54.4
diabetes_test_yes,11,54.8
diabetes_yes_but_during_pregnancy,1,0.7
diabetes_yes_but_during_pregnancy,8,1.4
diabetes_yes_but_during_pregnancy,11,1.3
difficulty_concentrating_no,11,87.5
difficulty_concentrating_yes,11,12.5
difficulty_doing_errands_alo_no,1,94.3
difficulty_doing_errands_alo_yes,1,5.7
difficulty_walking_no,1,86.6
difficulty_walking_yes,1,13.4
disability_status_no,1,79
disability_status_no,11,71.4
disability_status_yes,1,21
disability_status_yes,11,28.6
durationclnscpysgmy_5_or_more_years_ago,8,16.8
durationclnscpysgmy_5_or_more_years_ago,11,13.9
durationclnscpysgmy_within_the_past_2_years,8,17.7
