"","%IncMSE","IncNodePurity"
"cve",0.156454133484641,0.00917005849959379
"population",6.29303522599233,0.0758941249246263
"phr",0,0
"pct_hispanic",2.03446784117112,0.0322776153550234
"pct_black",3.79859321701799,0.02271906031658
"pct_white",3.21817228975848,0.0422390090033502
"pct_poverty",1.09757524092116,0.0206290894359305
"pct_uninsured",1.08183732413341,0.0251489205539234
"pct_college",1.69491231549192,0.0446691666684528
"pct_foreign_born",1.33404369731148,0.0146540897923451
"advised_to_change_eating_hab_no",0,0
"advised_to_change_eating_hab_yes",0,0
"advised_to_cut_down_salt_no",0,0
"advised_to_cut_down_salt_yes",0,0
"advised_to_exercise_no",0,0
"advised_to_exercise_yes",1.00167084494127,0.000154534614332411
"advised_to_take_med_yes",0,0
"all_teeth_removed_65_no",-1.00167084494127,0.000110499784284072
"any_cancer_no",3.26274372272484,0.0142848816131303
"any_cancer_yes",2.64038178511066,0.00613331260326268
"any_drinking_past_month_no",0,0
"any_drinking_past_month_yes",0,0
"arthritis_no",1.00167084494127,0.000278707907096417
"arthritis_yes",-1.02477544806354,2.97680383226944e-05
"asthma_status_never",0,0
"bmi_3_categories_obese",1.23143478417135,0.00284618185190489
"bmi_3_categories_overweight",1.98245045742154,0.000828338125265079
"bmi_3_categories_recommended_range",1.00167084494127,9.49840823108938e-05
"bmi_4_categories_obese",1.15515521601115,0.00220173622859969
"bmi_4_categories_overweight",1.51587657190047,0.000853908988160327
"bmi_4_categories_recommended_range",2.75905665913029,0.00869386443214691
"bmi_5_categories_obese",1.1753836479054,0.00357823327040986
"bmi_5_categories_overweight",2.11295332684517,0.000733047944481107
"bmi_5_categories_recommended_range",1.71837618647531,0.00178571462322122
"bp_location_at_home",0,0
"bp_sharing_in_person",0,0
"binge_drinking_no",0.89129573718446,0.000423170261227895
"binge_drinking_yes",0,0
"blind_no",0,0
"copd_no",0,0
"cvd_no",0,0
"cervical_cancer_screening_no",0.104834769898561,0.00313876755731961
"cervical_cancer_screening_yes",0.617498938980946,0.00142681348431866
"cervical_cancer_screening_hp_no",-1.00167084494127,2.00876577270912e-05
"cervical_cancer_screening_hp_yes",0,0
"cervical_cancer_screening_pa_yes",1.00167084494127,2.23129846700235e-05
"chest_ct_or_cat_scan_no",0,0
"chest_ct_or_cat_scan_yes",0,0
"clnscpy_sgmscpy_colonoscopy",0,0
"col_past_10_yrs_50_75_no",0,0
"col_past_10_yrs_50_75_yes",0,0
"col_past_10_yrs_50_75_ia_no",0,0
"col_past_10_yrs_50_75_ia_yes",-1.00167084494127,0.000127563693292067
"coronary_heart_disease_no",1.70288130360932,0.000207087003597047
"current_asthma_2_no",1.00167084494127,0.00039329582624938
"current_e_cig_user_no",2.35292156653229,0.00934819798882531
"current_e_cig_user_yes",3.38587278720563,0.0138220323479103
"current_smoker_no",0.956792047007276,0.000679318151314198
"current_smoker_yes",1.11547340608572,0.00106266486911609
"deaf_no",1.00167084494127,0.000107621965973568
"dentist_visit_past_year_no",0,0
"dentist_visit_past_year_yes",0,0
"depressive_disorder_no",2.83318299873317,0.0208281338588327
"depressive_disorder_yes",1.00167084494127,0.00045520589553252
