"","Feature","Gain","Cover","Frequency"
"1","cve",0.357598369177589,0.227269348003866,0.271604938271605
"2","ep_hburd",0.149854470508377,0.150695115604788,0.0576131687242798
"3","pct_black",0.128726284464454,0.00906995762396848,0.0617283950617284
"4","ep_nohsdp",0.110543229600053,0.0791019255073972,0.0534979423868313
"5","enrollment",0.0420168555296061,0.0710727826927366,0.0740740740740741
"6","bmi_3_categories_recommended_range",0.0325155113531509,0.0608876663445097,0.0205761316872428
"7","ep_age65",0.0246460589735575,0.0559066240428221,0.0329218106995885
"8","population",0.0221007889094169,0.0220057988253661,0.037037037037037
"9","pct_poverty",0.0143656723011969,0.0398483384135009,0.0493827160493827
"10","pct_uninsured",0.0129704557402397,0.013902312095755,0.037037037037037
"11","pct_white",0.0124706030229204,0.0122667459668426,0.0246913580246914
"12","ep_sngpnt",0.0112530162538273,0.00535276187644041,0.0329218106995885
"13","any_cancer_yes",0.0100344716385151,0.0124897777116943,0.00411522633744856
"14","density",0.00966690306297275,0.00260203702326965,0.00411522633744856
"15","ep_crowd",0.00726420829067564,0.00386588357742919,0.00823045267489712
"16","asthma_status_never",0.00679973223658426,0.0123410898817932,0.00411522633744856
"17","ep_disabl",0.00599593306971813,0.0493643595271727,0.0411522633744856
"18","pct_college",0.00598008853314358,0.0104081480930786,0.0123456790123457
"19","cervical_cancer_screening_yes",0.00553485623034675,0.0105568359229797,0.0123456790123457
"20","pct_hispanic",0.00540021008222484,0.0202958887815032,0.0411522633744856
"21","ep_asian",0.00492644197689181,0.000966470894357297,0.00411522633744856
"22","ep_mobile",0.00445457659889223,0.0367258939855773,0.037037037037037
"23","ep_groupq",0.0029282244865689,0.00178425395881347,0.00823045267489712
"24","ep_unemp",0.00283112528162327,0.00341982008772582,0.0123456790123457
"25","ep_otherrace",0.002541679123024,0.0380640844546874,0.0329218106995885
"26","poor_mental_health_14_days_14_or_more_days",0.00209838706778782,0.011523306817337,0.00411522633744856
"27","current_smoker_yes",0.00197469250430762,0.0195524496319976,0.00823045267489712
"28","general_health_good",0.0017494845106175,0.0107798676678314,0.00411522633744856
"29","ep_twomore",0.000746351524647542,0.00118950263920898,0.00411522633744856
"30","advised_to_take_med_yes",1.13179470696323e-05,0.00669095234555052,0.00411522633744856
