"","Feature","Gain","Cover","Frequency"
"1","pap_hpv_test_past_5_yrs_21_no",0.164328190470534,0.0568433815033554,0.0472972972972973
"2","cve",0.118940521555376,0.100789114444762,0.108108108108108
"3","ep_age65",0.0916279367875881,0.0524441348647893,0.0405405405405405
"4","pct_black",0.0872090533788316,0.0697024191267277,0.0608108108108108
"5","ep_aian",0.0814535464630137,0.0525824691118843,0.0608108108108108
"6","enrollment",0.0678471014746903,0.036992620301434,0.0337837837837838
"7","ep_unemp",0.0577084528095721,0.0487872147830997,0.0405405405405405
"8","pct_hispanic",0.0541588210692935,0.0620701635774839,0.0540540540540541
"9","ep_groupq",0.0352435597187342,0.0759193648411559,0.0743243243243243
"10","ep_otherrace",0.0292656029768883,0.0164010153451501,0.0135135135135135
"11","pct_uninsured",0.0271750232922455,0.0391967501014654,0.0337837837837838
"12","general_health_good",0.0234665970104619,0.0165383642835248,0.00675675675675676
"13","ep_age17",0.0229999716990603,0.0508016929800918,0.0608108108108108
"14","provided_care_past_30_days_no",0.0202339892072959,0.0256177441053416,0.0135135135135135
"15","ep_munit",0.0193017925052201,0.0244917665950664,0.0202702702702703
"16","any_cancer_no",0.0160563600905922,0.0310210454949678,0.0337837837837838
"17","population",0.0135458092248705,0.0389295088243046,0.0472972972972973
"18","density",0.0133410832142662,0.067976375055364,0.0878378378378378
"19","mammogram_no",0.0123969229845114,0.0143433964995509,0.00675675675675676
"20","ep_nohsdp",0.0112909601478417,0.0185517177961034,0.0202702702702703
"21","pct_foreign_born",0.00938101235673543,0.0128491400133782,0.0135135135135135
"22","pct_poverty",0.00796684978245061,0.0104381563589457,0.0135135135135135
"23","ep_mobile",0.00541116886651623,0.0101152548179546,0.0135135135135135
"24","ep_noint",0.0036130696059196,0.0251110011855234,0.0337837837837838
"25","ep_asian",0.00311106444299268,0.00975486218336664,0.0135135135135135
"26","ep_twomore",0.00121102185997425,0.0095743212983866,0.0135135135135135
"27","bmi_3_categories_recommended_range",0.000680025762613673,0.00501257421613507,0.00675675675675676
"28","ep_limeng",0.000612774415128149,0.00485081081821645,0.00675675675675676
"29","pct_white",0.000421716826781223,0.0122936194724704,0.0202702702702703
