"","minsplit","minbucket","maxdepth","RMSE","MAE","R2"
"1",20,10,10,0.314446502579502,0.191200169247281,-Inf
"2",25,10,10,0.318239960318557,0.180680489646333,-Inf
"3",30,10,10,0.325556755055409,0.180165766287521,-Inf
"4",35,10,10,0.327699119791803,0.180172782290587,-Inf
"5",40,10,10,0.322398890592399,0.179298126317373,-Inf
"6",45,10,10,0.288653521323633,0.160411023685165,-Inf
"7",50,10,10,0.290394586261617,0.171020715017416,-Inf
"8",20,15,10,0.313668709360456,0.167381444491204,-Inf
"9",25,15,10,0.308162640312809,0.168846874410587,-Inf
"10",30,15,10,0.308537575082826,0.174268170664288,-Inf
"11",35,15,10,0.317855576688893,0.17546502511034,-Inf
"12",40,15,10,0.319562106793289,0.175999173279762,-Inf
"13",45,15,10,0.304669150121387,0.167878877657244,-Inf
"14",50,15,10,0.295639255360522,0.168351655902607,-Inf
"15",20,20,10,0.281062838370463,0.148821966082499,-Inf
"16",25,20,10,0.307739036598065,0.166274290021173,-Inf
"17",30,20,10,0.281717692232532,0.159253920824421,-Inf
"18",35,20,10,0.307583514482095,0.16796265710288,-Inf
"19",40,20,10,0.299592685542363,0.160114495866432,-Inf
"20",45,20,10,0.28303129954699,0.152232355431936,-Inf
"21",50,20,10,0.290740819101183,0.16862073356282,-Inf
"22",20,10,20,0.299279952571784,0.17491650779537,-Inf
"23",25,10,20,0.34251006807089,0.193824443964506,-Inf
"24",30,10,20,0.300022488694142,0.170132671706792,-Inf
"25",35,10,20,0.330602175536813,0.191194749427972,-Inf
"26",40,10,20,0.331299340232737,0.178610078346988,-Inf
"27",45,10,20,0.308182203225098,0.190590322224189,-Inf
"28",50,10,20,0.290865254736849,0.177822044521316,-Inf
"29",20,15,20,0.311917395518008,0.169991490672805,-Inf
"30",25,15,20,0.311377993499834,0.166850725478738,-Inf
"31",30,15,20,0.310168054963098,0.173218459202908,-Inf
"32",35,15,20,0.31089981159517,0.167573510159059,-Inf
"33",40,15,20,0.297364882624997,0.159652722160544,-Inf
"34",45,15,20,0.302023569180595,0.174237903402205,-Inf
"35",50,15,20,0.291884118462197,0.168403541304948,-Inf
"36",20,20,20,0.275841500565824,0.160030598164114,-Inf
"37",25,20,20,0.286440468957757,0.155081080226784,-Inf
"38",30,20,20,0.29752294842049,0.163415092644381,-Inf
"39",35,20,20,0.302021134924195,0.164094936929693,-Inf
"40",40,20,20,0.28749841203086,0.162175656815502,-Inf
"41",45,20,20,0.292034396368268,0.163375594588857,-Inf
"42",50,20,20,0.279545897993362,0.167119978482835,-Inf
"43",20,10,30,0.29882977767416,0.173950534728608,-Inf
"44",25,10,30,0.298658449109283,0.169041500277441,-Inf
"45",30,10,30,0.33027459613392,0.183591686974367,-Inf
"46",35,10,30,0.297143915645252,0.163834431883646,-Inf
"47",40,10,30,0.305085610101287,0.16068075664908,-Inf
"48",45,10,30,0.284730278749972,0.167084348256398,-Inf
"49",50,10,30,0.285147872724173,0.168403148901471,-Inf
"50",20,15,30,0.30516491248394,0.180148875272571,-Inf
"51",25,15,30,0.309877736821244,0.171978218064024,-Inf
"52",30,15,30,0.31321840041046,0.172567055866413,-Inf
"53",35,15,30,0.30860281247683,0.17130415700043,-Inf
"54",40,15,30,0.318118825081048,0.179064488248058,-Inf
"55",45,15,30,0.302725479404127,0.169116342635236,-Inf
"56",50,15,30,0.29372158399535,0.16880774955779,-Inf
"57",20,20,30,0.300687418819196,0.162340728747473,-Inf
"58",25,20,30,0.293097211805956,0.161596292152228,-Inf
"59",30,20,30,0.306516622461805,0.169416183401367,-Inf
"60",35,20,30,0.284571864856567,0.148450254029351,-Inf
"61",40,20,30,0.280070850934715,0.156050929481725,-Inf
"62",45,20,30,0.304258555729798,0.172117610670181,-Inf
"63",50,20,30,0.291860545335077,0.169358425247067,-Inf
