"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"cve",1.18196363255257,6.921216653034,6.7389988261538,0.825835265694863
"population",7.27915592062506,9.61359349881212,10.081961402507,2.65808858546245
"pct_hispanic",1.20634434890843,5.52673895304097,5.6657568748895,0.721990406743756
"pct_black",8.57199526374728,13.6152909691819,14.0329360626991,5.73555867870132
"pct_white",-0.309961117635258,7.41353247031897,7.2817618034058,0.807230401117474
"pct_poverty",0.353436313684512,5.0295569585483,4.96107950383276,0.546625502931865
"pct_uninsured",0.115589109226368,7.01882508047704,6.93153603604306,0.853811166707332
"pct_college",2.00005978384147,5.76131579827717,5.83446617368244,0.828117470650508
"pct_foreign_born",3.77195652262928,7.70218131847224,8.87313754180875,1.18350759394156
"advised_to_change_eating_hab_no",1.72222244627116,1.69141085803003,2.04372344952324,0.236935912736278
"advised_to_change_eating_hab_yes",2.12638265344809,2.02282277157143,2.2684391227132,0.350451014815166
"advised_to_cut_down_salt_no",2.20485703858004,1.93160742234506,2.12879260868003,0.0829042996189656
"advised_to_cut_down_salt_yes",2.00762295950048,2.86005858494655,3.20478548045267,0.655910239649725
"advised_to_exercise_no",2.28465680830832,1.83402064804906,2.8117835954028,0.260475572665779
"advised_to_exercise_yes",2.03070792972968,2.52243929502245,2.65133577684699,0.331641365662991
"advised_to_take_med_yes",0,1.00100150250438,1.00100150250438,0.00373333333333333
"all_teeth_removed_65_no",1.25309042040637,1.17355519126492,1.27914479000298,0.0297468942051481
"any_cancer_no",1.04389849131636,1.00100150250438,1.04050263747052,0.0254487394957983
"any_cancer_yes",1.8151732186781,1.69996480439882,2.15187612413401,0.108752369085818
"any_drinking_past_month_no",1.16826465528916,0,1.15641997464229,0.0183571428571429
"any_drinking_past_month_yes",1.41687130543059,1.43957132754897,1.76178037334305,0.0342930605193408
"arthritis_no",2.28348887866099,2.16335834913415,2.71625003129478,0.154361841787355
"arthritis_yes",2.08427643468563,1.94708942517872,2.07605827949274,0.185878512352846
"asthma_status_never",0.588547607988907,-1.65585302186403,0.0169168637549863,0.0926771283670242
"bmi_3_categories_obese",1.41514176494763,-1.00100150250438,1.38143686146385,0.0139271062271062
"bmi_3_categories_overweight",2.43713880228597,2.18659655590579,2.69248037640197,0.176544966901273
"bmi_3_categories_recommended_range",1.76584854088497,1.13122937752938,1.86766449196665,0.0779810885370388
"bmi_4_categories_obese",1.3278154072526,1.57609725447065,1.85639276087444,0.0305017649017649
"bmi_4_categories_overweight",2.87947232240899,2.67796799253785,3.20461080358709,0.268584482274121
"bmi_4_categories_recommended_range",2.68366242379463,1.4384482628913,2.84404510923527,0.239831254726686
"bmi_5_categories_obese",0,0,0,0
"bmi_5_categories_overweight",2.20557558341395,2.21120040971057,2.68186670518223,0.125857911009342
"bmi_5_categories_recommended_range",2.76084254563285,-0.050082656813007,2.8159221016316,0.179348385772475
"bp_location_at_home",1.30591096601235,1.10411772025662,1.31935760450742,0.029184126984127
"bp_sharing_in_person",1.14824825324577,2.6403335307075,2.59446369149891,0.484803752558708
"binge_drinking_no",1.20054260297243,1.48404094107566,1.75112417275001,0.0371745098039216
"binge_drinking_yes",-1.41674609062311,0,-1.41580771175093,0.0177908496732026
"blind_no",2.61375729705024,2.65183519780313,2.86629557358381,0.532617468036736
"copd_no",1.42496700807108,1.70111586726222,1.66565090701755,0.0982461205020726
"cvd_no",2.2707949123503,2.21337507463542,2.72487882427451,0.10622223363139
"cervical_cancer_screening_no",2.48169065348183,2.27362017927639,3.06677628713527,0.164197068764458
"cervical_cancer_screening_yes",2.54646339060977,0.838602063967012,2.55984359680054,0.125153071264206
"cervical_cancer_screening_hp_no",3.60783465456049,2.53348353004955,3.26965859991841,0.938667186804781
"cervical_cancer_screening_hp_yes",3.8859524014873,3.45226889755452,3.79458077402922,1.52134794213198
"cervical_cancer_screening_pa_yes",1.50513848835957,1.73649020213717,1.50261584744129,0.0362637322710739
"chest_ct_or_cat_scan_no",1.76103909931961,1.31021359137905,1.91811183979364,0.19519411039731
"chest_ct_or_cat_scan_yes",2.33277778293654,1.73529125244241,2.0706437017024,0.256730303851705
"clnscpy_sgmscpy_colonoscopy",2.8282717982705,3.01241127259994,3.04328268453378,0.793658143687683
"col_past_10_yrs_50_75_no",3.14972816204304,3.38255662233507,3.62543998096171,0.627582076767549
"col_past_10_yrs_50_75_yes",2.08844545889439,2.56335713386208,2.8211607349883,0.597156697532636
"col_past_10_yrs_50_75_ia_no",2.55616492727289,2.60814017431927,2.97523669915814,0.681614522287915
"col_past_10_yrs_50_75_ia_yes",2.98204746952814,2.95437130437873,3.29543562866013,0.606616263722418
"coronary_heart_disease_no",2.13760051927128,1.97800378965513,2.42897902343808,0.148243640647202
"current_asthma_2_no",3.51103820001012,3.8400823763496,4.17049286816799,1.299974224614
"current_e_cig_user_no",1.76653830249773,1.7969736145665,2.10327273650313,0.159758398940584
"current_e_cig_user_yes",2.4170076746251,1.95500211776259,2.58281100892454,0.190007579607488
"current_smoker_no",0.698527559397927,1.65631743710662,1.52973584850072,0.0868849960884123
"current_smoker_yes",0.443708608896875,1.36144413042321,0.805420201870078,0.0199576219321528
"deaf_no",1.70498329912838,2.33914591739802,2.30126694046993,0.210937705064617
"dentist_visit_past_year_no",1.00100150250438,0,1.00100150250438,0.0117619047619048
"dentist_visit_past_year_yes",1.00100150250438,1.73132512135658,1.59170848513316,0.0942699085086355
"depressive_disorder_no",3.86644149377516,3.96358225087004,4.58592875182745,2.70248100568965
"depressive_disorder_yes",3.80433154561184,3.88866617994928,4.56495054667814,2.33814341632594
"diabetes_no",-1.00100150250438,1.00100150250438,0.45973276764741,0.00954545454545454
"diabetes_yes",1.00100150250438,1.00100150250438,1.00100150250438,0.084793454728404
"diabetes_status_no",1.59243552635327,1.2938426351092,1.76729841509296,0.121480309358258
"diabetes_status_yes",2.5868172237248,1.49797555776321,2.64128977808631,0.47425397109271
"difficulty_concentrating_no",1.73207688406076,0.841994192133352,2.21848193631176,0.092563407312069
"difficulty_concentrating_yes",2.02787526097821,1.72497725537231,2.25880244649978,0.0948940347889417
