"","Feature","Gain","Cover","Frequency"
"1","poor_mental_health_14_days_14_or_more_days",0.348759847363895,0.112580518546154,0.0315226569096538
"2","ep_age65",0.153847855601755,0.146914331678554,0.111736560652969
"3","mammogram_yes",0.149318536645039,0.123908312848236,0.0790880945679707
"4","ep_disabl",0.104536315917113,0.0763793344991685,0.052068674359696
"5","pct_black",0.0929904170746515,0.0906764769887158,0.0923163523782719
"6","ep_unemp",0.02862089359363,0.0506232697421528,0.043343653250774
"7","cve",0.0219378417278747,0.0660058691660688,0.0698001688713763
"8","population",0.0118433649036256,0.00597333458408844,0.0289895862651281
"9","ep_nohsdp",0.00926063071697715,0.0280505494150132,0.0444694624261188
"10","ep_hburd",0.00797898065589451,0.0302936444854673,0.0377146073740501
"11","ep_groupq",0.00699890101387152,0.0274832102642463,0.0551646495918942
"12","advised_to_change_eating_hab_yes",0.00571112147544269,0.0348122118042637,0.0281452293836195
"13","ep_otherrace",0.00566540963201624,0.0156093364294232,0.0337742752603434
"14","ep_aian",0.00564246250977351,0.0231122971734463,0.0233605403884042
"15","any_cancer_yes",0.00493247707768462,0.0192171899736763,0.0118209963411202
"16","pct_foreign_born",0.00382992347622214,0.0271422743947205,0.0244863495637489
"17","ep_nhpi",0.00369291789834567,0.00976025094397529,0.0135097101041373
"18","pain_med_not_rx_no",0.00338512479700308,0.00974768000506117,0.0166056853363355
"19","ep_noveh",0.00288921072650088,0.00155688146022181,0.00816211652124965
"20","ep_asian",0.00272796468260874,0.00268097413665103,0.0104137348719392
"21","ep_noint",0.00234548285751107,0.00155289886098544,0.00985083028426682
"22","bp_sharing_in_person",0.00214811288520089,0.0150062877948589,0.00703630734590487
"23","advised_to_take_med_yes",0.00212876718167031,0.00119736243140946,0.00844356881508584
"24","chest_ct_or_cat_scan_yes",0.00211447909871323,0.00542542252993429,0.0151984238671545
"25","ep_mobile",0.00181785989960933,0.0208886647442014,0.0273008725021109
"26","pct_hispanic",0.0017287177292997,0.0147320780188578,0.0168871376301717
"27","ep_twomore",0.00172782793951817,0.00329937803684458,0.00985083028426682
"28","pct_white",0.00166293174734413,0.00641347986514104,0.00928792569659443
"29","ep_limeng",0.00141233557589099,0.00583891430046327,0.00816211652124965
"30","ep_munit",0.001262301852043,0.00252293644344168,0.00985083028426682
"31","arthritis_yes",0.00107225640138012,0.000509853911784614,0.00309597523219814
"32","general_health_good",0.00103731674357426,0.0033544301988383,0.0056290458767239
"33","pct_college",0.000734311753548089,0.00121222303473937,0.00478468899521531
"34","density",0.000570741724734241,0.000720654164281261,0.00450323670137912
"35","pct_poverty",0.000550415072651096,0.00120191732333104,0.00731775963974106
"36","poor_mental_health_5_days_5_or_more_days",0.000533672467750674,0.000598730336362207,0.00309597523219814
"37","deaf_no",0.000519769189225584,0.000335769592033863,0.00281452293836195
"38","difficulty_walking_yes",0.000479351820495077,0.000417577270137642,0.00225161835068956
"39","ep_crowd",0.000433344995136177,0.00148010969856854,0.00956937799043062
"40","advised_to_exercise_yes",0.000283258154496274,0.00468237261644076,0.00675485505206867
"41","pct_uninsured",0.00014390929927839,0.000180610455745694,0.00140726146918097
"42","hlth_affected_activ_5_days_5_or_more_days",0.000115284536928232,0.00022877398548546,0.00168871376301717
"43","fobt_past_yr_no",0.000113231449733215,0.000144323788795734,0.00112580917534478
"44","bp_location_at_home",0.000110376610080999,0.00104002649714083,0.00140726146918097
"45","difficulty_doing_errands_alo_no",6.52915615025365e-05,0.000608619447822527,0.000844356881508584
"46","current_e_cig_user_yes",5.64315386323808e-05,0.00203823897289632,0.00225161835068956
"47","bmi_3_categories_overweight",5.61163560331895e-05,0.000140085573926916,0.00056290458767239
"48","difficulty_dressing_no",5.2057587962354e-05,0.000261333190583889,0.000281452293836195
"49","fobt_past_yr_ia_no",4.83560741635508e-05,3.72821663424671e-05,0.000281452293836195
"50","col_past_10_yrs_50_75_yes",4.47342668714823e-05,7.84190932503969e-05,0.00056290458767239
"51","ep_sngpnt",2.06423879822519e-05,0.00105030900582654,0.00056290458767239
"52","diabetes_yes",1.70207581637412e-05,0.000187113898120302,0.000281452293836195
"53","mammogram_past_2_yrs_40_ia_yes",1.36709264892336e-05,5.21950490781632e-05,0.000281452293836195
"54","flu_vaccine_location_doctors_office_hmo",9.4240664609454e-06,3.36591630247823e-05,0.000281452293836195
