"","Feature","Gain","Cover","Frequency"
"1","poor_mental_health_14_days_14_or_more_days",0.305324456904843,0.115512904794043,0.0252525252525253
"2","ep_otherrace",0.230145534569318,0.157624884906428,0.0808080808080808
"3","pct_black",0.0599447211499053,0.0942184507905869,0.0858585858585859
"4","stool_dna_past_3_yrs_age_50_no",0.0579006894173472,0.0553174094146653,0.0101010101010101
"5","current_asthma_2_no",0.0519640429577853,0.0253845807576952,0.00505050505050505
"6","ep_age65",0.047744673998643,0.0509219448886381,0.0151515151515152
"7","enrollment",0.031031446962932,0.0524825572310955,0.0505050505050505
"8","fobt_past_yr_no",0.0221297646945757,0.0190544648986015,0.00505050505050505
"9","ep_aian",0.0210082837472387,0.0361190207026331,0.0404040404040404
"10","cve",0.0196998583036305,0.0625955554178674,0.0808080808080808
"11","all_teeth_removed_65_no",0.0185332756412045,0.0052922142433264,0.00505050505050505
"12","pct_college",0.0173308861342642,0.0132136294589756,0.0202020202020202
"13","advised_to_change_eating_hab_yes",0.0154539640826708,0.0049038395646311,0.00505050505050505
"14","heated_tbco_products_yes",0.0151289186716275,0.020480741743484,0.00505050505050505
"15","general_health_fair",0.0105027971403782,0.013774074777044,0.00505050505050505
"16","bmi_3_categories_overweight",0.010123944461055,0.0220692757901166,0.0101010101010101
"17","ep_asian",0.00837034521085325,0.0257904362241782,0.0555555555555556
"18","provided_care_past_30_days_yes",0.00557130024370645,0.019111149348664,0.0101010101010101
"19","pct_poverty",0.00542374367503724,0.0145759023690511,0.0252525252525253
"20","ep_nohsdp",0.00528844749908789,0.0100105452154672,0.0202020202020202
"21","pct_hispanic",0.00394558784875006,0.0293990621947875,0.0858585858585859
"22","dentist_visit_past_year_yes",0.0039442414545242,0.00244478991725025,0.00505050505050505
"23","heavy_drinking_males_no",0.00387333966355295,0.00924464903902059,0.0151515151515152
"24","ep_age17",0.00367249305725022,0.0106800232251467,0.0252525252525253
"25","ep_nhpi",0.00342003367569895,0.00966124099741424,0.0151515151515152
"26","heavy_drinking_no",0.00337471669698837,0.00976807200915036,0.00505050505050505
"27","ep_munit",0.00301909488235994,0.0071243971933291,0.00505050505050505
"28","density",0.00262732389426346,0.0104178581940276,0.0202020202020202
"29","ep_disabl",0.00200108165709429,0.0029729577827207,0.00505050505050505
"30","health_care_coverage_yes",0.00198374795260113,0.00443196507583537,0.00505050505050505
"31","population",0.0013590718579382,0.0128283762119231,0.0454545454545455
"32","mammogram_yes",0.00134071365806075,0.00550248457895116,0.0101010101010101
"33","ever_had_sgmscpy_clnscpy_yes",0.000991225777007894,0.00577661243767128,0.0101010101010101
"34","bmi_3_categories_recommended_range",0.000865238091708087,0.00562380154342504,0.0101010101010101
"35","ep_mobile",0.000786133444575859,0.00773046131840804,0.0202020202020202
"36","arthritis_yes",0.000742920684376289,0.00140544881565973,0.00505050505050505
"37","poor_mental_health_5_days_5_or_more_days",0.000573369563474824,0.00475288523693948,0.0151515151515152
"38","ep_hburd",0.00034353725790505,0.00705707752863026,0.0252525252525253
"39","last_dentist_visit_within_the_past_2_years",0.000342906582001328,0.00778522315151968,0.0303030303030303
"40","deaf_no",0.000328583329290362,0.00124528637470578,0.00505050505050505
"41","ep_sngpnt",0.000309667100829016,0.00431933318804851,0.0151515151515152
"42","ep_groupq",0.000307272459137168,0.00569302841331562,0.0202020202020202
"43","last_dentist_visit_within_the_past_5_years",0.000306417155810404,0.00139055857945492,0.00505050505050505
"44","flu_vaccine_location_doctors_office_hmo",0.000289768752856422,0.00421921702472125,0.00505050505050505
"45","ep_noint",0.000220012190097354,0.00342338378138388,0.0101010101010101
"46","pct_uninsured",0.000169402026759227,0.00197823413661262,0.00505050505050505
"47","ep_unemp",0.000119455271105247,0.00177010658592624,0.00505050505050505
"48","pct_foreign_born",6.21391829547234e-05,0.00153852481474115,0.00505050505050505
"49","dr_rx_pain_talk_yes",5.94093649245908e-05,0.00136135811208738,0.00505050505050505
