"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"cve",2.82311069058501,6.36156304601129,6.60866964445975,0.728022728901376
"enrollment",6.95388072371254,9.74178239100754,10.1891836138512,2.67869049625493
"population",7.18045751865284,10.3433154639088,10.7445351769251,2.92759011759755
"pct_hispanic",1.04036884681933,8.43224684177088,8.90871425441262,1.2100196827848
"pct_black",5.63717914701492,9.3669884062193,9.76289719127828,2.52295655268575
"pct_white",-3.22727786987631,8.17615950111583,7.50201054951775,1.07231839389314
"pct_poverty",-2.23046094890283,5.66969402558775,5.22667261375196,0.439966659049323
"pct_uninsured",0.112330977185788,9.76186146168413,9.65097801243067,1.69934748045536
"pct_college",2.25626431034797,6.54039691367608,7.05824476146425,1.18855811786987
"pct_foreign_born",5.13271387450309,7.83479934248033,8.28169239168449,1.35403211174589
"advised_to_change_eating_hab_yes",3.69929113725085,2.32293214177721,3.5114371187385,0.669988696739335
"advised_to_cut_down_salt_yes",2.74993957039715,2.63149594152325,3.07870153585319,0.135575324150091
"advised_to_exercise_yes",3.0699167167857,3.1554119203552,3.60676326289041,0.30326954094995
"advised_to_take_med_yes",3.17808753487011,1.98244121671826,2.8560914047261,0.236020331097474
"all_teeth_removed_65_no",2.17964204936092,2.57300871908866,2.97976094312541,0.281463311468248
"any_cancer_yes",2.64244639765132,2.46097630380405,2.74478168204662,0.311884621714688
"any_drinking_past_month_yes",2.52231593981779,2.30657282228304,2.7916088754784,0.111381168899112
"arthritis_yes",3.02837133712754,3.29607100862515,3.86432495450427,0.409931221316629
"asthma_status_never",4.29629186457435,2.71708899120935,4.19911913278637,1.18367973966715
"bmi_3_categories_obese",2.34964166653038,2.05789708940648,2.76113263829058,0.10452737327247
"bmi_3_categories_overweight",3.63220727161222,3.10615787537844,4.2714673219986,0.360669923888124
"bmi_3_categories_recommended_range",2.85006732370383,1.73186358328154,3.09556050871159,0.445079863717374
"bmi_4_categories_obese",2.19436847062721,0.812686964904755,2.40106802904027,0.0738943626488389
"bmi_4_categories_overweight",3.52784758854464,3.51798889197494,4.08070530810796,0.454536151702286
"bmi_4_categories_recommended_range",2.48592177990218,1.83889615141691,2.91614923802796,0.387998692203016
"bmi_5_categories_obese",1.36060948886915,1.82540281626088,1.90940005714058,0.0490808683931915
"bmi_5_categories_overweight",3.4176240442018,2.93568051299826,3.86561777918447,0.224646662165697
"bmi_5_categories_recommended_range",3.41944631459627,1.98374405331315,3.54135959433122,0.882127273748938
"bp_location_at_home",2.58229210218454,2.28680239854059,2.8110213619534,0.243256224323644
"bp_sharing_in_person",2.61544636933548,1.85985709354205,2.82421960353893,0.241127163159079
"binge_drinking_yes",2.56027880663518,2.33474795592316,2.66370831713435,0.292464232643442
"blind_no",2.99960794964163,2.44260037961074,3.08972998616361,0.332096040782266
"copd_no",3.004472657746,2.93482271109945,3.16695328795254,0.378218109021819
"cvd_no",2.24706233362442,1.63816503690721,1.92907763446415,0.295710452621931
"cervical_cancer_screening_yes",4.45838761682403,2.71265686111708,4.66815063878702,0.737853325883941
"cervical_cancer_screening_hp_yes",3.09649923242631,1.89071540113394,3.31138489776389,0.403977095593855
"cervical_cancer_screening_pa_yes",2.60740150464902,0.727684853404441,2.63507530865073,0.256933937606593
"chest_ct_or_cat_scan_yes",1.82552475164953,2.45545325783046,2.53933556653272,0.27884906446722
"clnscpy_sgmscpy_colonoscopy",3.79119881790181,3.58440666180046,4.19107411234048,0.882268514788411
"col_past_10_yrs_50_75_yes",4.25528467559409,2.88213027008398,4.60011833403142,1.33164217817143
"col_past_10_yrs_50_75_ia_yes",4.1810096215296,2.95311280771456,4.26616947701241,1.16371881309635
"coronary_heart_disease_no",1.38274131038823,1.3357690400482,2.06970875069382,0.0558586550921882
"current_asthma_2_no",3.8799869639682,3.48921758484477,4.52428052934676,0.90610992318731
"current_e_cig_user_yes",3.83251594458044,2.03668116884867,4.3376584274099,0.271854278353198
"current_smoker_yes",1.38345741618611,-0.380588835756819,1.46256660396945,0.0865336082102546
"deaf_no",3.70463746372428,2.85916559838965,3.87171706546753,0.825029552987811
"dentist_visit_past_year_yes",1.62931570275624,1.53732413766868,1.78875235352812,0.136631412024219
"depressive_disorder_yes",7.41646695129953,6.05230864239375,7.83332448196843,5.20030935426168
"diabetes_yes",2.65822577521495,1.1234037943285,2.61889227464583,0.414264123390279
"diabetes_status_yes",2.36616968570399,1.18976385199864,2.28641137211645,0.236472890039814
"difficulty_concentrating_yes",1.56059810583102,0.969087454612536,1.93916835648102,0.129851461967342
"difficulty_doing_errands_alo_no",2.11564431776291,1.88325785890463,2.46089066938985,0.274088529973472
"difficulty_dressing_no",2.43879416663595,2.04452574951123,2.55175837819378,0.310948857713911
"difficulty_walking_yes",1.82918243517711,0.509122565711197,1.81383541186973,0.116225067247618
"disability_status_yes",2.81232580398098,2.2473155662232,2.65510239277253,0.294830356357724
"dr_rx_pain_talk_yes",3.03793829389406,2.14342203142261,3.33705499317569,0.420203298574849
"ever_had_blood_stool_test_yes",1.72832508222212,0.343536912428532,1.82388318683112,0.0846687965446701
"ever_had_hiv_test_yes",3.15633406762021,2.79500552733895,3.72475417569935,0.378353532203003
"ever_had_sgmscpy_clnscpy_yes",4.7619880788663,4.22393339942923,5.09822034681748,1.9744455434432
"ever_smoked_yes",2.51056719585335,1.68326240622087,2.71100232201959,0.115371747325837
"ever_told_high_bp_yes",1.41850269020748,1.72720255751889,1.61631031142727,0.0546948395601725
"fobt_past_yr_no",2.6171622618113,2.14086493787444,2.89795453562521,0.264274162502198
"fobt_past_yr_ia_no",3.10454934173335,2.87067898975896,3.45094988600317,0.359836647842388
"fair_or_poor_health_fair_or_poor_health",3.11782056088302,2.21072351323725,2.91552251599529,0.27431633464676
"fair_or_poor_health_good_or_better_health",2.06761710232394,2.55716074854844,2.8189815936198,0.244124893910355
"flu_shot_in_past_year_yes",1.91329125976661,1.75075308967136,2.17726884707623,0.204290070270608
"flu_shot_18_64_yes",3.36375302461855,2.20510847060988,3.42583242637362,0.647548135639503
"flu_shot_65_yes",2.01880194644703,0.860990331569856,1.86641709823647,0.134196105418973
"flu_vaccine_location_doctors_office_hmo",3.79558732100362,3.38823164496055,4.3918041952816,1.31466865740001
"flu_vaccine_location_store",3.2419407398443,2.39737982481615,3.19847207697069,0.700244843527424
"frequency_of_smoking_every_day",2.46455929673001,1.99793228577618,2.4674777418175,0.157274611180082
"frequency_of_smoking_not_at_all",1.53439667480104,0.923681479763697,1.71863593144862,0.167716909436775
"general_health_excellent",2.44071372652761,2.15062827816929,2.616465706038,0.350380324877173
"general_health_fair",3.62648165608658,2.12989862169528,3.8776255977418,0.825208263203376
"general_health_good",3.82722977007907,2.32913061978175,3.9587027016341,0.76923271460109
"general_health_very_good",2.9316443885574,1.91344867184294,3.1195427864301,0.45569169580417
"hiv_risk_behavior_no",3.07747451482315,1.8446453137347,3.16504553372868,0.984197156386606
"hiv_aids_test_yes",2.8813122087489,2.8915909594331,3.55178348807633,0.746490595634355
"have_at_least_one_personal_d_yes",3.84169159889976,3.60481796736091,4.54765415824989,0.898761425677048
"health_care_coverage_yes",5.42730413200987,5.09911797684696,5.77057486028059,2.18913365486361
"health_care_coverage_age_18_yes",3.5258924334317,2.40304102156352,3.76415438411932,0.657420744707032
"health_care_provider_more_than_one",1.17614643774232,0.0944780793385717,1.23443704735946,0.026776286893934
"health_care_provider_no",3.76385838216848,3.72343589120232,4.17335933907992,0.917604083782765
"health_care_provider_yes_only_one",2.7951653730828,1.66371634596566,3.02553271609279,0.283816913131198
"heart_attack_no",2.01608236126187,2.14616613661753,2.26859471764656,0.106641312433044
"heart_disease_no",2.14918784880406,2.01570906733723,2.82878270860912,0.143690102169668
"heated_tbco_products_yes",3.16132277149774,3.31534334917453,3.87517525700831,0.210109749061974
"heavy_drinking_females_no",1.87879365961708,1.36079827621014,1.86629832232323,0.135964049287937
"heavy_drinking_males_no",3.44814474586164,2.94143044221281,3.72890973150777,0.688252291492307
"heavy_drinking_no",3.70879582473971,3.97435294801927,4.30562645549589,1.47361279990868
"hlth_affected_activ_14_days_14_or_more_days",2.19696756700335,0.973403810401883,2.1625469455075,0.145546326229747
"hlth_affected_activ_14_days_none_to_less_than_14_days",3.52169199370607,1.74012177924498,3.43242696673124,0.281811945738422
"hlth_affected_activ_5_days_5_or_more_days",4.51738594707869,2.30438548283932,4.64564406725961,0.723864917392981
"hlth_affected_activ_5_days_none_to_less_than_5_days",3.60599923772051,3.21409157438751,3.78011573171639,0.773607019973795
"home_bp_check_yes",1.80554374147426,2.18796434822691,2.479957474502,0.21926104061479
"hysterectomy_yes",3.4047152331144,2.99474669531858,3.64734267568758,0.535809908605581
"kidney_disease_no",3.83990193341277,2.49937568313905,4.09956454736211,1.19452578442386
"last_dentist_visit_5_or_more_years",2.89779743233633,1.92998436728539,3.07655918964661,0.162612575772097
"last_dentist_visit_within_the_past_2_years",4.61956469980831,3.91283782414321,4.83853747268407,2.36225068633524
"last_dentist_visit_within_the_past_5_years",4.2131685958207,2.79420486329358,4.03059359872705,1.95803220868724
"last_dentist_visit_within_the_past_year",1.15812814320798,1.86600817400363,1.51890408855623,0.0936057050117395
"last_smoked_10_years",2.45813398440852,2.40639051101728,2.79347169530292,0.306191873341175
"leisure_time_pa_yes",1.97248545291323,1.89310978634169,2.29922089542242,0.172638347436002
"lifetime_asthma_yes",4.0262636705431,1.09226992272227,4.21276779452396,1.6234995257989
"mammogram_yes",5.76992074215627,5.0855257866821,6.05305804889769,3.61176356243854
"mammogram_past_2_yrs_40_yes",3.95130220220154,2.22336446455774,4.07449469033964,1.2864602081674
"mammogram_past_2_yrs_40_ia_yes",4.86843057812112,2.32493046933435,4.99888756088982,2.20401197215616
"mammogram_past_2_yrs_50_yes",3.80105828332465,0.252697393623521,3.93001410344736,0.351150616784464
"mammogram_past_2_yrs_50_ia_yes",4.09322581509441,1.56276489541212,4.34839316075116,0.590917197185062
"mammogram_past_2_yrs_50_74_yes",2.96646293529835,1.29643528335725,3.11018548260165,0.491854173272891
"mammogram_past_2_yrs_50_74_i_yes",3.1927709739462,1.96187987129835,3.33291567094395,0.608761242882168
"medical_cost_yes",2.08948988416568,1.62841055918361,2.41150375497812,0.169165607410952
"memory_loss_no",5.27323146392943,3.89228237660933,5.21035804536781,2.84343665936959
"obese_yes",2.03025767080963,1.45328366365648,2.79660840215983,0.229612256544145
"other_cancer_no",2.77753590645474,1.82303075973571,3.13431498667999,0.285334067212179
"overweight_or_obese_yes",2.42360388493483,2.19524550376422,2.64270024044276,0.349198989996312
"pain_med_not_rx_no",1.71417881421161,1.17108748618027,2.03012231043905,0.164531432167146
"pneumonia_shot_18_yes",2.41237058074061,2.0335430118675,2.63728543897205,0.230795500384941
"pneumonia_shot_65_yes",2.87324622524823,1.48839176888611,2.9021382277765,0.183326001561613
"poor_mental_health_14_days_14_or_more_days",8.16666473905387,7.28538059743535,8.61160162014395,7.66520065305339
"poor_mental_health_14_days_none_to_less_than_14_days",7.88422886581539,7.14852121463351,8.45202798274398,7.70726746885593
"poor_mental_health_5_days_5_or_more_days",3.16870681216443,3.07175111641336,3.77404568073201,0.42488982754692
