"","ntree","mtry","nodesize","maxnodes","RMSE","MAE","R2"
"1",300,10,5,5,0.28834321978844,0.149631274181703,0.0869874479508239
"2",400,10,5,5,0.287178341312944,0.148423258216889,0.0929260466825741
"3",500,10,5,5,0.28596290273183,0.149305532070208,0.100338928507046
"4",600,10,5,5,0.287399145502936,0.14804080087731,0.0918874513948859
"5",700,10,5,5,0.286818302947022,0.148743556616515,0.0972299197856754
"6",300,20,5,5,0.284284437906228,0.146631727786808,0.108233940177596
"7",400,20,5,5,0.286263003617584,0.14698701166816,0.100032549515161
"8",500,20,5,5,0.285955587951176,0.148713132417425,0.100008757380992
"9",600,20,5,5,0.287135700641266,0.148040096760972,0.0936188474114849
"10",700,20,5,5,0.285794948566612,0.147419947601439,0.100298243753761
"11",300,30,5,5,0.288378142611414,0.148351375978678,0.0866830008605484
"12",400,30,5,5,0.287191217732412,0.148821652040545,0.0931540400768518
"13",500,30,5,5,0.28702938032368,0.148620334629786,0.0942953616476748
"14",600,30,5,5,0.28571694813414,0.147892315472345,0.104810201561051
"15",700,30,5,5,0.285910656171853,0.147245221591367,0.102293578953144
"16",300,40,5,5,0.288447743975831,0.148481485311009,0.0890385468986108
"17",400,40,5,5,0.287279307641075,0.147358316075948,0.0959568828851336
"18",500,40,5,5,0.28757813792756,0.148904650588178,0.0913757563034415
"19",600,40,5,5,0.28881276377266,0.149570975270996,0.0787128062675063
"20",700,40,5,5,0.288594219601392,0.149363781719207,0.0817736495578428
"21",300,50,5,5,0.288095845701773,0.148067153863857,0.0937056783470211
"22",400,50,5,5,0.287193700647061,0.148839843014806,0.096258816443101
"23",500,50,5,5,0.289284421013038,0.148713229240907,0.0781429654702064
"24",600,50,5,5,0.292362984316466,0.150872115509134,0.0553111784549593
"25",700,50,5,5,0.290286966358197,0.149839750079955,0.0744875203843219
"26",300,60,5,5,0.291824959284428,0.150671884370494,0.0577648561677552
"27",400,60,5,5,0.290275476299687,0.149912479467071,0.0675396550410282
"28",500,60,5,5,0.289685177832429,0.149640802038935,0.0844980365034687
"29",600,60,5,5,0.292169600529021,0.150344654601476,0.0574849240634957
"30",700,60,5,5,0.289485243928073,0.14975689072268,0.0781719311446291
"31",300,10,10,5,0.285678045312369,0.148179404818657,0.10434810828646
"32",400,10,10,5,0.287213415150207,0.149253307676532,0.0944439132245518
"33",500,10,10,5,0.286302672071615,0.149114849607158,0.0971301601827784
"34",600,10,10,5,0.287746166957051,0.149480097573371,0.0916834307927794
"35",700,10,10,5,0.287162876499333,0.148966708788958,0.0962899143800499
"36",300,20,10,5,0.286258887022652,0.148195094997619,0.103972471255868
"37",400,20,10,5,0.285763835746111,0.147887297867919,0.103130170613123
"38",500,20,10,5,0.287826229235732,0.14839239850174,0.0869176078072239
"39",600,20,10,5,0.285633204376059,0.148309078673974,0.107113473203209
"40",700,20,10,5,0.286330354294532,0.148656424797009,0.102273942794017
"41",300,30,10,5,0.284816424123936,0.148219438763135,0.112334611659062
"42",400,30,10,5,0.286549881699234,0.148040729027839,0.0968205640531794
"43",500,30,10,5,0.286931476145449,0.148238920639822,0.0927485581676888
"44",600,30,10,5,0.285144022605187,0.147708027872372,0.108570219096347
"45",700,30,10,5,0.285383491045877,0.148816112264292,0.104807198294495
"46",300,40,10,5,0.284658154133272,0.147764126275487,0.113198606136366
"47",400,40,10,5,0.289840831011295,0.148704074797398,0.0752321513993282
"48",500,40,10,5,0.28955939520657,0.149738962407837,0.0842916991909789
"49",600,40,10,5,0.289691421805069,0.150828273157363,0.0739350093642325
"50",700,40,10,5,0.288118732837334,0.149190466488986,0.0865004281691936
"51",300,50,10,5,0.28983290490192,0.15025641030642,0.0746507925160437
"52",400,50,10,5,0.289423937163271,0.149654927975831,0.0822088976291618
"53",500,50,10,5,0.287055345408807,0.148243493405348,0.0943081434754655
"54",600,50,10,5,0.287309392741975,0.148519496819389,0.0906253184603811
"55",700,50,10,5,0.288963082596799,0.148938275589652,0.0844647642088509
"56",300,60,10,5,0.291207336074097,0.150862129794718,0.0709993278571251
"57",400,60,10,5,0.291556524066198,0.150475249896463,0.0659116005946588
"58",500,60,10,5,0.293616779134657,0.150287719063246,0.0481674754017799
"59",600,60,10,5,0.28989832347384,0.150611816660065,0.0745020340943003
"60",700,60,10,5,0.292823384096064,0.151491411427051,0.054319058263998
"61",300,10,15,5,0.287838802056269,0.149905769916261,0.0925980123157934
"62",400,10,15,5,0.287494230315998,0.150407033252153,0.0919388702573124
"63",500,10,15,5,0.287435701964691,0.149665818228104,0.0939192290958739
"64",600,10,15,5,0.287639926441631,0.149266513626964,0.0907852272190265
"65",700,10,15,5,0.288541319796974,0.150405379290345,0.0830255143317522
"66",300,20,15,5,0.286718382388356,0.148844111980084,0.102221935828302
