"","eta","max_depth","min_child_weight","subsample","early_stopping","RMSE","MAE","R2"
"1",0.01,3,1,0.4,10,0.292105567186859,0.152674684677876,0.0416210874511998
"2",0.05,3,1,0.4,10,0.30926318290124,0.166458992292743,-0.0891943746867286
"3",0.1,3,1,0.4,10,0.313547003068572,0.176042789129725,-0.0982332982684022
"4",0.15,3,1,0.4,10,0.306514042114262,0.177526839152874,-0.0916136616590661
"5",0.2,3,1,0.4,10,0.312570475121362,0.188304583615779,-0.141257893693165
"6",0.25,3,1,0.4,10,0.343455285906305,0.210182994896962,-0.458168631950208
"7",0.3,3,1,0.4,10,0.35103654193325,0.218163038357405,-0.513863266397971
"8",0.35,3,1,0.4,10,0.341833234615644,0.216103249875921,-0.413675522695374
"9",0.4,3,1,0.4,10,0.328997406450381,0.201997321319062,-0.360142179205792
"10",0.01,6,1,0.4,10,0.293170160671231,0.154632753498321,0.0383063845318664
"11",0.05,6,1,0.4,10,0.305132307526608,0.164716761460773,-0.060895319182845
"12",0.1,6,1,0.4,10,0.313017640412183,0.173816531340721,-0.174836429584151
"13",0.15,6,1,0.4,10,0.311371041671329,0.179782803008718,-0.169838822185803
"14",0.2,6,1,0.4,10,0.340731091577671,0.194271260846124,-0.33630893282362
"15",0.25,6,1,0.4,10,0.324010662913424,0.185144650399128,-0.232588860616959
"16",0.3,6,1,0.4,10,0.339381358882328,0.200576077008528,-0.414467715735794
"17",0.35,6,1,0.4,10,0.339818920110858,0.202736284064769,-0.428395444646376
"18",0.4,6,1,0.4,10,0.370600210480875,0.228218896051757,-0.680864563272922
"19",0.01,9,1,0.4,10,0.290012067855588,0.15396059223918,0.0460708274796034
"20",0.05,9,1,0.4,10,0.313427144024455,0.168147318408888,-0.112515143996904
"21",0.1,9,1,0.4,10,0.316955260728245,0.182318145581529,-0.173131041308896
"22",0.15,9,1,0.4,10,0.312432590536131,0.182991546757079,-0.151732175785645
"23",0.2,9,1,0.4,10,0.314880735429291,0.191025553339701,-0.124427566145384
"24",0.25,9,1,0.4,10,0.316895151774444,0.178408702279373,-0.303480323789287
"25",0.3,9,1,0.4,10,0.332765909131855,0.190917520940961,-0.271202502651321
"26",0.35,9,1,0.4,10,0.313779312085527,0.204400333047431,-0.101976147725562
"27",0.4,9,1,0.4,10,0.375196615949846,0.234326831416693,-0.720673496960848
"28",0.01,3,2,0.4,10,0.291037093037416,0.157902905605971,0.0616171297841971
"29",0.05,3,2,0.4,10,0.314548863314433,0.178248256070716,-0.164436915131518
"30",0.1,3,2,0.4,10,0.316629804686153,0.183838493953227,-0.14876561680356
"31",0.15,3,2,0.4,10,0.306464941653796,0.180670288754626,-0.0799807587914043
"32",0.2,3,2,0.4,10,0.340018196069956,0.194167229597327,-0.381324253734329
"33",0.25,3,2,0.4,10,0.340346349220787,0.200102171013748,-0.361364569380543
"34",0.3,3,2,0.4,10,0.346856972960292,0.221911026570534,-0.4277955169154
"35",0.35,3,2,0.4,10,0.348742046357556,0.220902655472153,-0.428237581213715
"36",0.4,3,2,0.4,10,0.391950256839193,0.258680813046314,-0.958625356033116
"37",0.01,6,2,0.4,10,0.291808946518926,0.158827341871725,0.0526561084500588
"38",0.05,6,2,0.4,10,0.331025342271872,0.18479474945315,-0.296540744431177
"39",0.1,6,2,0.4,10,0.322358924651267,0.184610899919241,-0.231936989478436
"40",0.15,6,2,0.4,10,0.315124615685369,0.181160773782665,-0.196054161712177
"41",0.2,6,2,0.4,10,0.347640607065356,0.209198982326375,-0.401639047648791
"42",0.25,6,2,0.4,10,0.338030722971456,0.209498745731807,-0.502446627646513
"43",0.3,6,2,0.4,10,0.341178118634946,0.208738327930967,-0.475052283439153
"44",0.35,6,2,0.4,10,0.375221636314823,0.234230224587057,-0.650594744010327
"45",0.4,6,2,0.4,10,0.386093922254362,0.238877040741765,-0.846080677931285
"46",0.01,9,2,0.4,10,0.287621637768702,0.159630794767777,0.0809739685075519
"47",0.05,9,2,0.4,10,0.311021903974452,0.17693814796697,-0.136387887474825
"48",0.1,9,2,0.4,10,0.313611152568859,0.180019534187687,-0.162246758977723
"49",0.15,9,2,0.4,10,0.320031351393451,0.183756774394804,-0.219800830674694
"50",0.2,9,2,0.4,10,0.326177359451142,0.196141492627013,-0.304771295589333
"51",0.25,9,2,0.4,10,0.340953987449985,0.212179984233024,-0.368511622260703
"52",0.3,9,2,0.4,10,0.36734168726779,0.230722862325193,-0.635850734407449
"53",0.35,9,2,0.4,10,0.376378315369519,0.233287195445797,-0.70939297557594
"54",0.4,9,2,0.4,10,0.376784344119111,0.237343255944114,-0.681491215703614
"55",0.01,3,3,0.4,10,0.291779306814325,0.159606234076956,0.0551547350132467
"56",0.05,3,3,0.4,10,0.307924515707986,0.180117767128893,-0.0861518852389609
"57",0.1,3,3,0.4,10,0.334678931584917,0.194440939895397,-0.331597149984336
"58",0.15,3,3,0.4,10,0.340397329688905,0.201059731104457,-0.356537246467412
"59",0.2,3,3,0.4,10,0.326098365097503,0.197578813474423,-0.243524686888111
"60",0.25,3,3,0.4,10,0.351226409985393,0.214131658383422,-0.58544873304037
"61",0.3,3,3,0.4,10,0.325474239491799,0.20739959375774,-0.290318598827786
"62",0.35,3,3,0.4,10,0.349911915782612,0.211922811885896,-0.487524030470308
"63",0.4,3,3,0.4,10,0.365407982276708,0.233483695526577,-0.65486024140065
"64",0.01,6,3,0.4,10,0.289895704363131,0.157555492350757,0.0652376947562041
"65",0.05,6,3,0.4,10,0.309498640168582,0.177588974410044,-0.116011138910074
