Demographic Category,Demographic Group,Question1,Response Description1,Lkbrfcurr Note2,Measure Names,Measure Values
Total,total,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],81.8%
Total,total,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],59.2%
Total,total,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],71.9%
Total,total,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],40.8%
Total,total,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],18.2%
Total,total,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],28.1%
Gender,male,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Gender,female,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],84.6%
Gender,male,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Gender,female,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],56.2%
Gender,male,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Gender,female,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],72.6%
Gender,male,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Gender,female,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],43.8%
Gender,male,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Gender,female,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],15.4%
Gender,male,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Gender,female,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],27.4%
Race_Ethnicity,hispanic,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Race_Ethnicity,black_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Race_Ethnicity,other_multi,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Race_Ethnicity,white_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],87.8%
Race_Ethnicity,hispanic,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Race_Ethnicity,black_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Race_Ethnicity,other_multi,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Race_Ethnicity,white_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],67.1%
Race_Ethnicity,hispanic,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Race_Ethnicity,black_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Race_Ethnicity,other_multi,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Race_Ethnicity,white_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],79.3%
Race_Ethnicity,hispanic,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Race_Ethnicity,black_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Race_Ethnicity,other_multi,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Race_Ethnicity,white_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],32.9%
Race_Ethnicity,hispanic,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Race_Ethnicity,black_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Race_Ethnicity,other_multi,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Race_Ethnicity,white_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],12.2%
