Sheet,1,2,3,4,5,6,7,8,9,10,11,PHR1_pct_diff,PHR2_pct_diff,PHR3_pct_diff,PHR4_pct_diff,PHR5_pct_diff,PHR6_pct_diff,PHR7_pct_diff,PHR8_pct_diff,PHR9_pct_diff,PHR10_pct_diff,PHR11_pct_diff
A One C - No,R,R,R,N,R,R,R,R,R,22.4,R,,,,,,,,,,,
A One C - Yes,95.0,96.4,89.0,N,88.1,93.5,87.9,91.1,99.3,77.6,89.4,,0.7315,12.801,,-4.5504,-0.2134,0.2281,13.591,,,17.0157
Advised to Change Eating Hab - No,30.6,22.8,26.1,24.1,28.3,22.7,32.6,28.6,20.7,23.9,18.6,,,,,,,,,,,
Advised to Change Eating Hab - Yes,69.4,77.2,73.9,75.9,71.7,77.3,67.4,71.4,79.3,76.1,81.4,,,,,,,,,,,
Advised to Cut Down Salt - Do not use salt,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,
Advised to Cut Down Salt - No,29.4,32.1,29.1,28.6,26.3,29.9,32.7,30.5,20.9,26.3,21.2,,,,,,,,,,,
Advised to Cut Down Salt - Yes,67.2,67.3,69.9,69.7,70.9,69.8,67.1,69.4,77.4,73.3,77.7,,,,,,,,,,,
Advised to Exercise - No,21.2,18.1,14.1,18.0,19.3,15.0,23.0,19.7,15.3,17.2,7.8,,,,,,,,,,,
Advised to Exercise - Yes,78.8,81.9,85.9,82.0,80.7,85.0,77.0,80.3,84.7,82.8,92.2,,,,,,,,,,,
Advised to Take Med - No,R,3.6,13.0,R,R,12.9,17.7,13.3,R,12.7,R,,,,,,,,,,,
Advised to Take Med - Yes,91.4,96.4,87.0,89.3,89.1,87.1,82.3,86.7,87.5,87.3,89.9,,,,,,,,,,,
"All Teeth Removed, 65+ - No",89.2,73.7,88.5,73.8,90.4,89.2,89.5,94.1,63.3,90.7,88.6,,,,,,,,,,,
"All Teeth Removed, 65+ - Yes",R,26.3,11.5,26.2,9.6,10.8,10.5,R,R,R,R,,,,,,,,,,,
Alzheimers Care - No,85.9,72.2,79.5,N,85.0,85.9,84.1,67.1,81.8,87.4,81.3,,,,,,,,,,,
Alzheimers Care - Yes,14.1,R,20.5,N,15.0,R,15.9,32.9,R,R,R,,,,,,,,,,,
Any Cancer - No,94.0,87.2,89.0,87.6,83.9,90.4,89.6,92.2,94.7,94.2,93.1,4.5606,-0.1145,0.7928,-3.9474,-6.6741,-1.6322,-0.1115,1.9912,9.8608,-0.6329,0.9761
Any Cancer - Yes,6.0,12.8,11.0,12.4,16.1,9.6,10.4,7.8,5.3,5.8,6.9,-40.5941,0.7874,-5.9829,40.9091,59.4059,18.5185,0.9709,-18.75,-61.5942,11.5385,-11.5385
Any Drinking Past Month - No,58.3,62.5,47.8,55.8,53.9,52.1,42.3,47.4,49.5,50.3,54.7,-1.5203,0.6441,-0.6237,-9.8546,-13.2045,-5.7866,-9.8081,3.9474,-8.5028,6.1181,-10.9121
Any Drinking Past Month - Yes,41.7,37.5,52.2,44.2,46.1,47.9,57.7,52.6,50.5,49.7,45.3,2.2059,-1.0554,0.578,16.0105,21.6359,7.1588,8.6629,-3.3088,10.0218,-5.5133,17.3575
Arthritis - No,77.0,68.6,79.1,68.6,73.3,83.3,77.0,73.2,77.8,75.6,81.6,-1.4085,0.2924,-0.7528,-7.9195,4.7143,3.8653,-4.1096,-7.8086,2.2339,-4.3038,2.0
Arthritis - Yes,23.0,31.4,20.9,31.4,26.7,16.7,23.0,26.8,22.2,24.4,18.4,5.0228,-0.6329,2.9557,23.1373,-11.0,-15.6566,16.7513,30.0971,-7.113,16.1905,-8.0
Asthma Status - Current,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0,117.4603,-4.1237,29.5775,4.0,,33.3333,43.2432,48.7179,-5.5556,16.1765,-13.7931
Asthma Status - Former,R,4.6,5.8,R,4.4,7.3,5.0,6.0,R,4.0,4.6,,-44.5783,75.7576,,100.0,82.5,0.0,30.4348,,8.1081,31.4286
Asthma Status - Never,80.5,86.0,85.0,85.1,86.8,86.0,84.4,82.4,85.9,88.0,90.4,-10.8527,4.878,-5.1339,-1.8454,-4.7201,-5.2863,-3.653,-5.9361,-1.2644,-1.676,-0.3308
BMI 3 Categories - Obese,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3,44.0,40.8228,10.0324,18.4615,13.1195,8.2353,,10.303,-13.1004,2.2535,-3.3573
BMI 3 Categories - Overweight,31.5,25.6,36.2,36.1,37.4,30.6,34.3,34.9,38.5,39.0,32.8,-10.7649,-31.7333,-2.9491,16.4516,3.8889,-10.7872,,-9.3506,33.6806,10.7955,-0.6061
BMI 3 Categories - Recommended Range,21.7,30.0,29.8,25.4,23.8,32.5,34.1,28.7,21.7,24.8,27.0,-32.3988,,,,,,,0.7018,,,6.7194
BMI 4 Categories - Obese,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3,44.0,40.8228,10.0324,18.4615,13.1195,8.2353,,10.303,-13.1004,2.2535,-3.3573
BMI 4 Categories - Overweight,31.5,25.6,36.2,36.1,37.4,30.6,34.3,34.9,38.5,39.0,32.8,-10.7649,-31.7333,-2.9491,16.4516,3.8889,-10.7872,,-9.3506,33.6806,10.7955,-0.6061
BMI 4 Categories - Recommended Range,20.9,28.7,28.1,24.1,23.4,29.3,31.5,26.7,19.7,23.2,25.3,-30.3333,1.4134,-7.2607,-29.7376,-9.6525,0.0,,-3.2609,-17.2269,-18.8811,4.1152
BMI 4 Categories - Underweight,R,R,1.7,R,R,3.2,2.6,R,R,R,R,,,21.4286,,,33.3333,,,,,
BMI 5 Categories - Extremely Obese,12.8,R,5.8,10.8,R,5.0,6.0,5.9,R,5.4,9.5,113.3333,,13.7255,208.5714,,-9.0909,,11.3208,,-3.5714,13.0952
BMI 5 Categories - Obese,34.0,33.6,28.2,27.6,32.2,31.8,25.6,30.5,33.9,30.9,30.7,27.8195,48.6726,9.3023,-4.8276,20.5993,11.5789,,10.1083,-7.6294,3.3445,-7.8078
BMI 5 Categories - Overweight,31.5,25.6,36.2,36.1,37.4,30.6,34.3,34.9,38.5,39.0,32.8,-10.7649,-31.7333,-2.9491,16.4516,3.8889,-10.7872,,-9.3506,33.6806,10.7955,-0.6061
BMI 5 Categories - Recommended Range,20.9,28.7,28.1,24.1,23.4,29.3,31.5,26.7,19.7,23.2,25.3,-30.3333,1.4134,-7.2607,-29.7376,-9.6525,0.0,,-3.2609,-17.2269,-18.8811,4.1152
BMI 5 Categories - Underweight,R,R,1.7,R,R,3.2,2.6,R,R,R,R,,,21.4286,,,33.3333,,,,,
BP Location - At home,83.8,85.2,85.2,77.4,85.6,84.2,82.3,80.4,86.9,87.9,88.2,,,,,,,,,,,
