area,topic,question,total_yes_percent,total_no_percent,total_doctor_refused_when_asked_percent,total_a_doctor_s_office_or_health_maintenance_organization_hmo_percent,total_a_health_department_percent,total_a_hospital_example_inpatient_percent,total_a_school_percent,total_a_senior_recreation_or_community_center_percent,total_a_store_examples_supermarket_drug_store_percent,total_an_emergency_room_percent,total_another_type_of_clinic_or_health_center_example_a_community_health_center_percent,total_received_vaccination_in_canada_mexico_percent,total_workplace_percent,total_some_other_kind_of_place_percent,total_one_shot_percent,total_two_shots_percent,total_all_three_shots_percent,total_yes_received_tdap_percent,total_yes_received_tetanus_shot_but_not_sure_what_type_percent,total_yes_received_tetanus_shot_but_not_tdap_percent,total_no_did_not_receive_any_tetanus_since_2005_percent,total_current_percent,total_former_percent,total_never_percent,total_obese_percent,total_overweight_percent,total_neither_overweight_or_obese_percent,total_normal_percent,total_underweight_percent,total_extremely_obese_percent,total_within_the_past_year_anytime_less_than_12_months_ago_percent,total_within_the_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_the_past_3_years_2_years_but_less_than_3_years_ago_percent,total_within_the_past_5_years_3_years_but_less_than_5_years_ago_percent,total_5_or_more_years_ago_percent,total_colonoscopy_percent,total_sigmoidoscopy_percent,total_because_of_a_family_history_of_prostate_cancer_percent,total_because_of_a_prostate_problem_percent,total_because_you_were_told_you_had_prostate_cancer_percent,total_part_of_a_routine_exam_percent,total_some_other_reason_percent,total_10_or_more_years_ago_percent,total_within_the_past_10_years_5_years_but_less_than_10_years_ago_percent,total_yes_but_female_told_only_during_pregnancy_percent,total_no_pre_diabetes_or_borderline_diabetes_percent,total_41_percent,total_41_64_percent,total_65_percent,total_within_the_past_month_anytime_less_than_1_month_ago_percent,total_within_the_past_year_1_month_but_less_than_12_months_ago_percent,total_2_or_more_years_ago_percent,total_yes_only_one_percent,total_more_than_one_percent,total_within_past_year_anytime_less_than_12_months_ago_percent,total_within_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_past_5_years_2_years_but_less_than_5_years_ago_percent,total_poor_percent,total_fair_percent,total_good_percent,total_very_good_percent,total_excellent_percent,total_fair_or_poor_health_percent,total_good_or_better_health_percent,total_5_or_more_days_percent,total_none_to_less_than_5_days_percent,total_14_or_more_days_percent,total_none_to_less_than_14_days_percent,total_at_home_percent,total_clinic_percent,total_counselling_and_testing_site_percent,total_drug_treatment_facility_percent,total_emergency_room_percent,total_hospital_inpatient_percent,total_jail_or_prison_or_other_correctional_facility_percent,total_private_doctor_or_hmo_percent,total_somewhere_else_percent,total_1_to_4_miles_percent,total_5_to_9_miles_percent,total_10_to_14_miles_percent,total_15_to_20_miles_percent,total_21_to_50_miles_percent,total_more_than_50_miles_percent,total_none_or_less_than_5_days_percent,total_none_or_less_than_14_days_percent,total_all_percent,total_most_percent,total_some_percent,total_a_little_percent,total_none_percent,total_agree_strongly_percent,total_agree_slightly_percent,total_neither_agree_nor_disagree_percent,total_disagree_slightly_percent,total_disagree_strongly_percent,total_never_noticed_or_never_looked_for_percent,total_always_percent,total_most_of_the_time_percent,total_about_half_the_time_percent,total_sometimes_percent,total_usually_cannot_find_calorie_information_percent,total_1_to_5_percent,total_6_or_more_but_not_all_percent,total_within_the_past_5_years_2_years_but_less_than_5_years_ago_percent,total_yes_during_pregnancy_percent,total_nearly_always_percent,total_seldom_percent,total_never_drive_or_ride_in_a_car_percent,total_1_times_per_day_or_less_percent,total_2_times_per_day_percent,total_3_times_per_day_percent,total_4_times_per_day_percent,total_5_or_more_times_per_day_percent,total_30_minutes_or_less_percent,total_31_minutes_to_less_than_an_hour_percent,total_1_to_3_hours_percent,total_3_to_5_hours_percent,total_5_to_10_hours_percent,total_10_to_15_hours_percent,total_15_hours_percent,total_cost_too_much_too_expensive_can_t_afford_percent,total_don_t_need_or_want_percent,total_too_hard_to_use_don_t_know_how_to_use_percent,total_other_specify_percent,total_every_day_percent,total_some_days_percent,total_not_at_all_percent,total_current_smoker_every_day_percent,total_current_smoker_some_days_percent,total_former_smoker_percent,total_never_smoker_percent,total_within_the_past_month_less_than_1_month_ago_percent,total_within_the_past_3_months_1_month_but_less_than_3_months_ago_percent,total_within_the_past_6_months_3_months_but_le8ss_than_6_months_ago_percent,total_within_the_past_year_6_months_but_less_than_1_year_ago_percent,total_within_the_past_5_years_1_year_but_less_than_5_years_ago_percent,total_10_years_or_more_percent,total_never_smoked_regularly_percent,total_less_than_1_hour_percent,total_1_hour_percent,total_2_hours_percent,total_3_hours_percent,total_4_hours_percent,total_5_hours_or_more_percent,total_you_do_not_watch_tv_or_videos_percent,total_air_pollution_percent,total_crime_percent,total_no_or_unsafe_paths_or_sidewalks_percent,total_no_shops_or_interesting_places_to_go_percent,total_poor_health_percent,total_too_busy_percent,total_too_far_percent,total_too_much_traffic_percent,total_weather_too_hot_or_too_cold_percent,total_other_percent,total_0_minutes_percent,total_1_9_minutes_percent,total_10_29_minutes_percent,total_30_59_minutes_percent,total_60_minutes_percent,total_1_to_149_minutes_percent,total_150_minutes_or_more_percent,total_one_day_percent,total_two_days_percent,total_three_days_percent,total_four_days_percent,total_five_days_percent,total_six_days_percent,total_seven_days_percent
1,Adult Immunizations,Ever Had Hepatitis B Shot,32.0%,67.9%,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Ever Had HPV Shot,6.6%,93.4%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Ever Had Meningitis Shot,8.8%,91.2%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Ever Had Pneumonia Shot,30.2%,69.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,"Ever Had Pneumonia Shot, Age 65+",71.9%,28.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Flu Shot in the Past Year,34.1%,65.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,"Flu Shot in the Past Year, Age 18-64",26.2%,73.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,"Flu Shot in the Past Year, Age 65+",70.2%,29.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Had All Hepatitis B Shots,65.2%,34.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Had All HPV Shots,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,"Had Shingles Shot, Age 50+",10.9%,89.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adult Immunizations,Location of Flu Shot,,,,31.6%,0.4%,9.1%,0.0%,2.5%,22.9%,0.0%,7.3%,0.0%,12.2%,14.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
