cluster,county,CODE2023,CODE2013,outbreak,population,o-density
3,Anderson,5,5,0,60303,0
2,Andrews,5,5,3,19823,0.000151339353276497
3,Angelina,5,5,0,87492,0
3,Aransas,3,3,0,25943,0
3,Archer,4,4,0,8976,0
3,Armstrong,3,3,0,1806,0
2,Atascosa,2,2,1,52314,0.0000191153419734679
3,Austin,2,2,0,32958,0
2,Bailey,6,6,2,7057,0.000283406546691229
3,Bandera,2,2,0,22918,0
3,Bastrop,2,2,0,116842,0
3,Baylor,6,6,0,3529,0
2,Bee,5,5,0,30125,0
1,Bell,3,3,0,402069,0
1,Bexar,1,1,1,2167567,0.000000461346754217978
3,Blanco,6,6,0,13682,0
3,Borden,6,6,1,642,0.00155763239875389
3,Bosque,3,6,0,18703,0
3,Bowie,4,4,0,92206,0
1,Brazoria,2,2,0,412599,0
1,Brazos,3,4,0,249858,0
3,Brewster,6,6,1,9262,0.000107968041459728
3,Briscoe,6,6,0,1456,0
2,Brooks,5,6,0,6645,0
3,Brown,5,5,1,38346,0.0000260783393313514
3,Burleson,3,4,0,20660,0
3,Burnet,6,6,0,57023,0
2,Caldwell,2,2,0,52987,0
3,Calhoun,5,5,0,20228,0
3,Callahan,4,4,0,14746,0
2,Cameron,3,3,0,433199,0
3,Camp,5,6,0,12881,0
3,Carson,3,3,1,5648,0.000177053824362606
3,Cass,6,6,0,28474,0
2,Castro,6,6,0,7490,0
3,Chambers,2,2,0,57010,0
3,Cherokee,5,5,0,53809,0
3,Childress,6,6,0,6577,0
3,Clay,4,4,0,10752,0
2,Cochran,3,6,14,2596,0.00539291217257319
3,Coke,6,6,0,3505,0
3,Coleman,6,6,0,8188,0
1,Collin,1,1,1,1272999,0.000000785546571521266
3,Collingsworth,6,6,0,2607,0
3,Colorado,6,6,0,21543,0
3,Comal,2,2,0,207603,0
3,Comanche,6,6,0,14524,0
3,Concho,6,6,0,3322,0
3,Cooke,5,5,0,44986,0
3,Coryell,3,3,0,87186,0
3,Cottle,6,6,0,1220,0
2,Crane,6,6,0,4743,0
3,Crockett,6,6,0,2723,0
2,Crosby,3,3,0,5169,0
2,Culberson,6,6,0,2282,0
2,Dallam,6,6,7,7831,0.000893883284382582
1,Dallas,1,1,0,2691548,0
2,Dawson,6,5,26,11655,0.00223080223080223
2,Deaf Smith,5,5,0,18794,0
3,Delta,6,6,0,5531,0
1,Denton,2,2,0,1058299,0
3,Dickens,6,6,0,1741,0
2,Dimmit,6,6,0,8021,0
3,Donley,6,6,0,3172,0
2,Duval,6,6,0,9963,0
3,Eastland,6,6,2,18223,0.000109751413049443
2,Ector,4,4,12,175677,0.0000683071773766629
3,Edwards,6,6,0,1421,0
2,El Paso,3,3,59,235760,0.000250254496097727
1,Ellis,2,2,0,879329,0
3,Erath,5,5,1,43427,0.0000230271490086812
3,Falls,3,3,0,17855,0
3,Fannin,5,6,4,39397,0.000101530573393913
3,Fayette,6,6,0,25486,0
3,Fisher,6,6,0,3736,0
2,Floyd,5,6,0,4970,0
3,Foard,6,6,0,1025,0
1,Fort Bend,2,2,0,971689,0
3,Franklin,6,6,0,11231,0
3,Freestone,6,6,0,20554,0
2,Frio,6,6,0,19614,0
2,Gaines,6,6,414,23167,0.0178702464712738
1,Galveston,2,2,0,368857,0
3,Garza,3,6,2,5376,0.00037202380952381
3,Gillespie,5,5,0,28875,0
3,Glasscock,6,5,0,1154,0
3,Goliad,4,4,0,7399,0
2,Gonzales,6,6,0,20311,0
3,Gray,5,5,0,20887,0
3,Grayson,4,4,0,152665,0
3,Gregg,3,4,0,127815,0
3,Grimes,6,6,0,33510,0
3,Guadalupe,2,2,0,196392,0
2,Hale,5,5,5,31802,0.000157222816175083
3,Hall,6,6,0,2670,0
3,Hamilton,6,6,0,9071,0
2,Hansford,6,6,0,4977,0
3,Hardeman,6,6,1,3367,0.000297000297000297
3,Hardin,3,3,0,59494,0
1,Harris,1,1,0,5003892,0
3,Harrison,3,5,0,71364,0
3,Hartley,6,6,0,4916,0
3,Haskell,6,6,0,5445,0
1,Hays,2,2,0,294840,0
3,Hemphill,6,6,0,3210,0
3,Henderson,5,5,0,88009,0
2,Hidalgo,3,3,0,928384,0
3,Hill,6,6,0,39598,0
2,Hockley,3,5,7,21620,0.00032377428307123
3,Hood,5,2,0,70130,0
3,Hopkins,5,5,0,39012,0
3,Houston,6,6,0,21771,0
3,Howard,5,5,0,33949,0
2,Hudspeth,3,3,0,3792,0
3,Hunt,2,2,0,118261,0
3,Hutchinson,5,5,0,20223,0
3,Irion,4,4,0,1475,0
3,Jack,6,6,0,9606,0
3,Jackson,6,6,0,15034,0
3,Jasper,6,6,0,32954,0
3,Jeff Davis,6,6,0,2035,0
3,Jefferson,3,3,0,258038,0
2,Jim Hogg,6,6,0,4697,0
2,Jim Wells,5,5,0,38468,0
3,Johnson,2,2,0,209341,0
3,Jones,4,4,0,21101,0
2,Karnes,6,6,0,15196,0
3,Kaufman,2,2,0,200711,0
3,Kendall,2,2,0,50790,0
2,Kenedy,6,5,0,338,0
3,Kent,6,6,0,730,0
3,Kerr,5,5,0,53984,0
3,Kimble,6,6,0,4383,0
3,King,6,6,0,268,0
3,Kinney,6,6,0,3108,0
2,Kleberg,5,5,0,31032,0
3,Knox,6,6,0,3246,0
2,La Salle,6,6,0,51503,0
3,Lamar,5,5,28,12620,0.00221870047543582
2,Lamb,6,6,1,23572,0.0000424232139826913
3,Lampasas,3,3,0,6735,0
3,Lavaca,6,6,0,20919,0
3,Lee,6,6,0,18432,0
3,Leon,6,6,0,16884,0
2,Liberty,2,2,0,117976,0
3,Limestone,6,6,0,22049,0
3,Lipscomb,6,6,0,2745,0
3,Live Oak,6,6,0,12111,0
3,Llano,6,6,0,23181,0
3,Loving,6,6,0,55,0
3,Lubbock,3,3,52,329582,0.000157775606677549
3,Lynn,3,3,2,6326,0.000316155548529877
3,Madison,6,6,0,7489,0
3,Marion,6,6,0,270957,0
3,Martin,4,4,3,563,0.00532859680284192
3,Mason,6,6,0,14184,0
2,Matagorda,5,5,0,10067,0
2,Maverick,4,5,0,5154,0
3,Medina,2,2,0,56647,0
3,Menard,6,6,0,1877,0
3,Midland,4,4,6,184344,0.000032547845332639
3,Milam,6,6,0,26199,0
3,Mills,6,6,0,4547,0
3,Mitchell,6,6,0,8858,0
3,Montague,6,6,0,22362,0
1,Montgomery,2,2,0,775723,0
2,Moore,5,5,0,22110,0
3,Morris,5,6,0,11994,0
3,Motley,6,6,0,1035,0
3,Nacogdoches,5,5,0,64105,0
3,Navarro,5,5,0,55841,0
3,Newton,6,3,0,11810,0
3,Nolan,5,5,0,14432,0
2,Nueces,3,3,0,359942,0
2,Ochiltree,6,6,0,9759,0
3,Oldham,3,3,0,1812,0
3,Orange,3,3,0,85934,0
3,Palo Pinto,5,5,0,29927,0
3,Panola,6,6,0,22889,0
3,Parker,2,2,0,179074,0
2,Parmer,6,6,5,9288,0.00053832902670112
2,Pecos,6,6,0,15744,0
3,Polk,6,6,0,54730,0
2,Potter,3,3,1,117502,0.00000851049343840956
2,Presidio,6,6,0,6187,0
3,Rains,6,6,0,13512,0
3,Randall,3,3,1,151067,0.00000661957939192544
2,Reagan,6,6,0,3414,0
3,Real,6,6,0,2737,0
3,Red River,5,6,0,11793,0
2,Reeves,5,5,2,15034,0.000133031794598909
3,Refugio,6,6,0,6848,0
3,Roberts,5,6,0,813,0
3,Robertson,3,4,0,17653,0
1,Rockwall,2,2,1,135364,0.00000738748854939275
3,Runnels,6,6,0,9611,0
3,Rusk,3,4,0,53498,0
3,Sabine,6,6,0,9984,0
3,San Augustine,6,6,0,7887,0
3,San Jacinto,2,6,0,28777,0
2,San Patricio,3,3,0,71946,0
3,San Saba,6,6,0,5626,0
3,Schleicher,6,6,0,2238,0
3,Scurry,5,5,0,16044,0
3,Shackelford,6,6,0,2938,0
3,Shelby,6,6,0,24094,0
3,Sherman,6,6,0,2773,0
3,Smith,4,4,0,245101,0
3,Somervell,6,2,0,10288,0
2,Starr,5,5,0,66763,0
3,Stephens,6,6,0,9210,0
3,Sterling,6,6,0,1350,0
3,Stonewall,6,6,0,1237,0
2,Sutton,6,6,0,3350,0
2,Swisher,6,6,0,6790,0
1,Tarrant,1,1,0,2245229,0
3,Taylor,4,4,0,149153,0
3,Terrell,6,6,0,737,0
2,Terry,6,6,60,11581,0.00518089974958985
3,Throckmorton,6,6,0,1587,0
2,Titus,5,5,0,31626,0
3,Tom Green,4,4,0,123326,0
1,Travis,1,1,0,1395906,0
3,Trinity,6,5,0,14510,0
3,Tyler,6,6,0,20574,0
3,Upshur,3,4,5,44174,0.000113188753565446
2,Upton,6,6,0,3296,0
2,Uvalde,5,5,0,24344,0
2,Val Verde,5,5,0,48163,0
3,Van Zandt,6,6,0,65449,0
3,Victoria,4,4,0,90845,0
3,Walker,5,5,0,80914,0
3,Waller,2,2,0,65997,0
2,Ward,6,6,0,11762,0
3,Washington,5,5,0,38024,0
2,Webb,3,3,0,277406,0
3,Wharton,5,5,0,42154,0
3,Wheeler,6,6,0,4936,0
3,Wichita,4,4,0,128927,0
3,Wilbarger,5,5,0,12566,0
2,Willacy,5,5,0,20510,0
1,Williamson,2,2,0,737942,0
3,Wilson,2,2,0,56383,0
2,Winkler,6,6,0,7731,0
3,Wise,2,2,0,75954,0
3,Wood,6,6,0,47953,0
2,Yoakum,6,6,1,7519,0.000132996409096954
3,Young,6,6,0,18024,0
2,Zapata,5,5,0,13963,0
2,Zavala,6,6,0,9546,0
