"","Feature","Gain","Cover","Frequency"
"1","mammogram_no",0.328206604061797,0.143568298108516,0.0253164556962025
"2","pct_black",0.123413694124285,0.073552216423143,0.029535864978903
"3","ep_otherrace",0.0706092256871522,0.0881374994214611,0.0506329113924051
"4","poor_mental_health_14_days_14_or_more_days",0.0600597804442224,0.0601553669557995,0.0253164556962025
"5","density",0.0542642830350298,0.068741204856865,0.0759493670886076
"6","advised_to_change_eating_hab_no",0.0493441396617257,0.0242525745941153,0.00421940928270042
"7","ep_age65",0.0490664940171683,0.0659648169581879,0.0548523206751055
"8","ep_unemp",0.0453016455301913,0.041116005474438,0.0126582278481013
"9","ep_munit",0.0381051990113791,0.0215254937388285,0.00421940928270042
"10","ep_aian",0.0350508882661684,0.0764774696223195,0.0759493670886076
"11","cve",0.0219956829470972,0.0663375006708186,0.105485232067511
"12","general_health_excellent",0.0214199576062394,0.0238990595409202,0.00843881856540084
"13","ep_groupq",0.0133898650801356,0.0473767755662561,0.0970464135021097
"14","population",0.0103818925612104,0.028531466109508,0.0759493670886076
"15","ep_hburd",0.00935587364311547,0.0116110505463333,0.0168776371308017
"16","mammogram_past_2_yrs_50_74_yes",0.00839950927237613,0.0174685923481473,0.00843881856540084
"17","pct_uninsured",0.00774162422546359,0.00479527720129996,0.00843881856540084
"18","ep_noint",0.00747327434155128,0.01509277454969,0.0379746835443038
"19","ep_age17",0.00678676774133068,0.0211205931330047,0.0337552742616034
"20","pct_college",0.0055873838597511,0.0066268854817156,0.00843881856540084
"21","general_health_good",0.00540775172874385,0.00755276542899625,0.0126582278481013
"22","ep_nohsdp",0.00526280541034312,0.00760338363471514,0.0126582278481013
"23","sigm_past_5_yrs_50_75_ia_no",0.00481967241570677,0.00809035282661374,0.00843881856540084
"24","provided_care_past_30_days_no",0.00299773957868309,0.00443092087078589,0.00421940928270042
"25","ep_crowd",0.00293875031196866,0.00408842308425539,0.00843881856540084
"26","current_e_cig_user_no",0.00265696958347214,0.00868412669948245,0.0126582278481013
"27","ep_twomore",0.00193028560765222,0.0064546382033949,0.0168776371308017
"28","pct_hispanic",0.00191557078281342,0.0136996954363833,0.0379746835443038
"29","ep_asian",0.001632283493908,0.00556909693249649,0.0168776371308017
"30","any_cancer_no",0.00118011953606938,0.00123014915717174,0.00421940928270042
"31","poor_physical_health_14_day_14_or_more_days",0.000739438404398953,0.00143777112803379,0.00421940928270042
"32","ep_noveh",0.000603314449378607,0.00251034392913457,0.00843881856540084
"33","ep_mobile",0.000463251466622507,0.00405163422140367,0.0168776371308017
"34","mammogram_past_2_yrs_50_ia_no",0.000325807834530374,0.00109190712823204,0.00421940928270042
"35","lifetime_asthma_no",0.000292825191118503,0.00286628821915005,0.0126582278481013
"36","pain_med_not_rx_no",0.00026066813330629,0.00419038430489382,0.0168776371308017
"37","ep_sngpnt",0.000223773179513335,0.00164610143516013,0.00421940928270042
"38","ep_nhpi",0.00010084200971095,0.00194705895928456,0.00843881856540084
"39","heart_attack_no",9.31003799044054e-05,0.0018977594225487,0.00843881856540084
"40","mammogram_past_2_yrs_40_ia_no",8.39822882864833e-05,0.00185224907821629,0.00843881856540084
"41","ep_limeng",4.83472843249263e-05,0.000962427554595793,0.00421940928270042
"42","chest_ct_or_cat_scan_no",4.00853188401859e-05,0.000908156735882669,0.00421940928270042
"43","reg_bp_check_no",2.88304933134037e-05,0.000883444307801043,0.00421940928270042
