Variable,Importance
mammogram_no,70.22210465566356
mammogram_yes,70.22210465566356
flu_vaccine_location_doctors_office_hmo,66.68149433689061
have_at_least_one_personal_d_no,59.010171979549206
have_at_least_one_personal_d_yes,59.010171979549206
health_care_provider_no,59.010171979549206
pct_black,26.086470213084024
ep_munit,11.5664339928319
ep_age65,11.03611139838237
ep_twomore,9.974238610885065
density,8.439740363056606
ep_crowd,8.439740363056606
cve,6.905242115228125
ep_hburd,6.609390853046802
pct_foreign_born,4.957043139785097
ep_age17,3.3046954265233923
ep_disabl,3.3046954265233923
