"","Feature","Gain","Cover","Frequency"
"1","pct_black",0.150287053839229,0.0627803623130149,0.0760869565217391
"2","enrollment",0.135779733970049,0.0796655644899264,0.0543478260869565
"3","ep_age65",0.105950252470434,0.0415070846144559,0.0326086956521739
"4","pap_hpv_test_past_5_yrs_21_yes",0.0997525023909658,0.0310499721619188,0.0271739130434783
"5","ep_otherrace",0.0656905042656013,0.0427916687958492,0.0271739130434783
"6","cve",0.0642458655249539,0.0908093031478247,0.0815217391304348
"7","asthma_status_former",0.0451769052402777,0.0294593883546918,0.016304347826087
"8","pct_hispanic",0.0392154405198809,0.106344182301473,0.125
"9","ep_nohsdp",0.0379534376359289,0.0282366797076697,0.016304347826087
"10","general_health_good",0.0301650349423799,0.0222136267804657,0.0108695652173913
"11","sigm_and_blood_stool_50_75_i_no",0.0283518025594735,0.0296276613812511,0.016304347826087
"12","pct_college",0.0244121564532407,0.0394856167923006,0.0489130434782609
"13","ep_noint",0.0220542629307328,0.0277272647321986,0.0326086956521739
"14","ep_twomore",0.0196912881914467,0.0117425411454361,0.016304347826087
"15","ep_hburd",0.0185302020651882,0.0344269474783416,0.0434782608695652
"16","ep_age17",0.0178916964350608,0.0168081614387104,0.0108695652173913
"17","stool_dna_past_3_yrs_age_50_no",0.0163153147712132,0.0130396975124776,0.00543478260869565
"18","population",0.0142524724424588,0.0609029138357363,0.0815217391304348
"19","ep_asian",0.0133362012368163,0.0580816286553564,0.0706521739130435
"20","ep_aian",0.0122413824997265,0.0420196929235163,0.0489130434782609
"21","pct_uninsured",0.0102541245873813,0.0380283671853031,0.0434782608695652
"22","pct_poverty",0.00785622306690579,0.0151801717984199,0.0108695652173913
"23","ep_unemp",0.00536035098146443,0.0135846132783759,0.016304347826087
"24","pct_foreign_born",0.00474841770967376,0.00997909232925558,0.0108695652173913
"25","density",0.00311710043726804,0.0101035071104695,0.016304347826087
"26","remove_teeth_all",0.00248153880514783,0.00662741557205003,0.00543478260869565
"27","any_cancer_yes",0.00238512341909053,0.0137230755966634,0.016304347826087
"28","ep_sngpnt",0.00152265227364702,0.00352864144295825,0.00543478260869565
"29","asthma_status_current",0.000553662401437671,0.0134694998639206,0.0217391304347826
"30","bmi_3_categories_recommended_range",0.000327370647052111,0.00373660964099986,0.00543478260869565
"31","ep_disabl",9.99252858732358e-05,0.00331904761896935,0.00543478260869565
