"","Feature","Gain","Cover","Frequency"
"1","poor_mental_health_14_days_14_or_more_days",0.288041454539103,0.0968120469127963,0.0249554367201426
"2","ep_otherrace",0.191411874495047,0.120171394117773,0.0748663101604278
"3","cvd_no_pct_diff",0.110487879360527,0.0774777553652825,0.0267379679144385
"4","pct_black",0.0686382743985163,0.0965880433349781,0.0855614973262032
"5","current_asthma_2_no",0.051801282103476,0.0360811340408242,0.0089126559714795
"6","ep_age65",0.0353461253670182,0.059883007426101,0.035650623885918
"7","ep_aian",0.0330563453664387,0.0689241020989567,0.0588235294117647
"8","enrollment",0.0298995174258961,0.0481638046266898,0.0570409982174688
"9","advised_to_cut_down_salt_yes",0.0281959610220024,0.00683897904411366,0.0089126559714795
"10","ep_munit",0.0221653423269113,0.0258751983215254,0.0142602495543672
"11","overweight_or_obese_yes_pct_diff",0.0178554379912971,0.0262524937024489,0.0196078431372549
"12","cve",0.0119242489467673,0.0402626981577834,0.0837789661319073
"13","pneumonia_shot_65_yes",0.0106377864365006,0.00290071214954952,0.0053475935828877
"14","pct_college",0.010160019091428,0.0184253573833565,0.0285204991087344
"15","any_cancer_yes",0.00925264012722787,0.0030961303190916,0.0053475935828877
"16","heated_tbco_products_yes",0.00922880994538172,0.0166886002971307,0.0053475935828877
"17","density",0.00903085206876686,0.00805987205446653,0.0053475935828877
"18","pct_foreign_born",0.00857618421813568,0.0164901055525551,0.0124777183600713
"19","pct_hispanic",0.00841286519293166,0.0264202978622964,0.0784313725490196
"20","ep_nohsdp",0.00669593513148152,0.010408942558137,0.0089126559714795
"21","pct_uninsured",0.00557287869987595,0.0186216280891212,0.0124777183600713
"22","memory_loss_no",0.00479607486665852,0.00559205895344084,0.0035650623885918
"23","pct_poverty",0.0037578073790301,0.00867824619345707,0.0142602495543672
"24","provided_care_past_30_days_yes",0.00277096433425337,0.00897190059603779,0.0035650623885918
"25","ep_nhpi",0.00234507453123594,0.0102529239338377,0.0160427807486631
"26","ep_asian",0.00231136588813722,0.0137774313169791,0.0463458110516934
"27","last_dentist_visit_5_or_more_years",0.0018335609135057,0.00890997492548865,0.0053475935828877
"28","ep_unemp",0.00163076876184393,0.0151424746979514,0.0124777183600713
"29","current_e_cig_user_yes",0.00162904089112864,0.00417789754586018,0.0017825311942959
"30","ep_groupq",0.00128331286002413,0.0068567936525312,0.0196078431372549
"31","poor_mental_health_5_days_5_or_more_days",0.00125679707902543,0.00772325169641227,0.017825311942959
"32","mammogram_yes",0.00120207962854447,0.00417058454372908,0.0071301247771836
"33","ep_sngpnt",0.00116160959959374,0.00841045667172933,0.0124777183600713
"34","population",0.00105738414599723,0.0142269849420342,0.0463458110516934
"35","binge_drinking_yes",0.000923328140408471,0.000565112608316238,0.0017825311942959
"36","ep_hburd",0.000887618601679306,0.0122973004011409,0.0267379679144385
"37","advised_to_change_eating_hab_yes",0.000862495324972722,0.000926742298981892,0.0017825311942959
"38","ep_noint",0.000627550259736472,0.00930674862820919,0.0160427807486631
"39","last_dentist_visit_within_the_past_2_years_pct_diff",0.000596948793217789,0.0091474543658942,0.035650623885918
"40","advised_to_exercise_yes",0.000588089734968687,0.000440279438958976,0.0017825311942959
"41","mammogram_past_2_yrs_50_ia_yes",0.000343909982836246,0.000441853286281243,0.0017825311942959
"42","mammogram_past_2_yrs_40_yes_pct_diff",0.000307379157922992,0.000849888343345752,0.0035650623885918
"43","heavy_drinking_males_no",0.000296533525741234,0.0041930018767101,0.0106951871657754
"44","ep_mobile",0.000198948320302946,0.00482289289714277,0.0053475935828877
"45","flu_shot_in_past_year_yes",0.000186264069963458,0.00100177627589843,0.0017825311942959
"46","smokeless_tobacco_use_not_at_all_pct_diff",0.00014368775980097,0.000412565313351735,0.0017825311942959
"47","ep_age17",0.000140666144834544,0.00213038102634854,0.0089126559714795
"48","pct_white",0.000130380243565721,0.00679293381627628,0.0017825311942959
"49","clnscpy_sgmscpy_colonoscopy",0.000120744829949114,0.00147507270208423,0.0017825311942959
"50","poor_mental_health_14_days_none_to_less_than_14_days_pct_diff",6.48466818535905e-05,0.00122996718940126,0.0017825311942959
"51","chest_ct_or_cat_scan_yes",5.22149093037858e-05,0.000408561171355477,0.0017825311942959
"52","ever_had_hiv_test_yes_pct_diff",4.51209608168819e-05,0.000549728339528203,0.0017825311942959
"53","ep_disabl",3.41423658875686e-05,0.000918052579423923,0.0017825311942959
"54","ever_had_blood_stool_test_yes_pct_diff",2.1575058528903e-05,0.000756404356884748,0.0035650623885918
