"","eta","max_depth","min_child_weight","subsample","early_stopping","RMSE","MAE","R2"
"1",0.01,3,1,0.4,10,0.259850369970049,0.153386629555323,-Inf
"2",0.05,3,1,0.4,10,0.255146243894163,0.151808550453111,-Inf
"3",0.1,3,1,0.4,10,0.261176034800155,0.150676232598688,-Inf
"4",0.15,3,1,0.4,10,0.25698442147303,0.146225986207077,-Inf
"5",0.2,3,1,0.4,10,0.254805890569699,0.148707406895068,-Inf
"6",0.25,3,1,0.4,10,0.239950813967143,0.142327737780624,-Inf
"7",0.3,3,1,0.4,10,0.248058099062112,0.148163702668161,-Inf
"8",0.35,3,1,0.4,10,0.268153836049335,0.159490724628153,-Inf
"9",0.4,3,1,0.4,10,0.258392466460253,0.149355473664744,-Inf
"10",0.01,6,1,0.4,10,0.264650012237102,0.15643350051322,-Inf
"11",0.05,6,1,0.4,10,0.26517790102305,0.160607798369801,-Inf
"12",0.1,6,1,0.4,10,0.252217795773976,0.144820193886712,-Inf
"13",0.15,6,1,0.4,10,0.257480524894692,0.149736359016073,-Inf
"14",0.2,6,1,0.4,10,0.25705523498361,0.148735593902739,-Inf
"15",0.25,6,1,0.4,10,0.242182631344603,0.136407746823012,-Inf
"16",0.3,6,1,0.4,10,0.256895889976626,0.154599659748346,-Inf
"17",0.35,6,1,0.4,10,0.247530411500248,0.143228222848317,-Inf
"18",0.4,6,1,0.4,10,0.272174444431529,0.157858144973517,-Inf
"19",0.01,9,1,0.4,10,0.261474867115103,0.154120166021386,-Inf
"20",0.05,9,1,0.4,10,0.260277709806692,0.154588321062067,-Inf
"21",0.1,9,1,0.4,10,0.24729461880958,0.142894181992482,-Inf
"22",0.15,9,1,0.4,10,0.249098685847514,0.147516539564578,-Inf
"23",0.2,9,1,0.4,10,0.244510644420808,0.14431393007569,-Inf
"24",0.25,9,1,0.4,10,0.251858564561392,0.154172272004614,-Inf
"25",0.3,9,1,0.4,10,0.257094647545528,0.158330169205558,-Inf
"26",0.35,9,1,0.4,10,0.262429940803881,0.154685048246594,-Inf
"27",0.4,9,1,0.4,10,0.273648761402057,0.157726587963296,-Inf
"28",0.01,3,2,0.4,10,0.262842089942055,0.157406625432565,-Inf
"29",0.05,3,2,0.4,10,0.257902883434794,0.152492467771124,-Inf
"30",0.1,3,2,0.4,10,0.254009295203275,0.147782433602644,-Inf
"31",0.15,3,2,0.4,10,0.249979602155597,0.146641883132382,-Inf
"32",0.2,3,2,0.4,10,0.255066030343718,0.153206570230172,-Inf
"33",0.25,3,2,0.4,10,0.244064055055486,0.138613429132636,-Inf
"34",0.3,3,2,0.4,10,0.259601580753458,0.154855986270947,-Inf
"35",0.35,3,2,0.4,10,0.260901695241325,0.149825108110053,-Inf
"36",0.4,3,2,0.4,10,0.260386915278578,0.152196289713663,-Inf
"37",0.01,6,2,0.4,10,0.260525167299061,0.153786198711515,-Inf
"38",0.05,6,2,0.4,10,0.247583976285749,0.14672677707154,-Inf
"39",0.1,6,2,0.4,10,0.253138951899521,0.153562505765457,-Inf
"40",0.15,6,2,0.4,10,0.250612091484858,0.154148387519157,-Inf
"41",0.2,6,2,0.4,10,0.253564314504201,0.15044842970755,-Inf
"42",0.25,6,2,0.4,10,0.264501748347051,0.150197117355278,-Inf
"43",0.3,6,2,0.4,10,0.258078974924486,0.154547868992746,-Inf
"44",0.35,6,2,0.4,10,0.228204219797024,0.135971137890254,-Inf
"45",0.4,6,2,0.4,10,0.25626927539085,0.150134499097682,-Inf
"46",0.01,9,2,0.4,10,0.256201702756627,0.152612771155425,-Inf
"47",0.05,9,2,0.4,10,0.250329290461885,0.149535130426305,-Inf
"48",0.1,9,2,0.4,10,0.252653525257997,0.147505755672663,-Inf
"49",0.15,9,2,0.4,10,0.24748584740868,0.149815174084736,-Inf
"50",0.2,9,2,0.4,10,0.246722533211885,0.148318452749625,-Inf
"51",0.25,9,2,0.4,10,0.240964673146565,0.14436408898928,-Inf
"52",0.3,9,2,0.4,10,0.259522891734188,0.151792686420694,-Inf
"53",0.35,9,2,0.4,10,0.258271243313903,0.148250508418986,-Inf
"54",0.4,9,2,0.4,10,0.270530118325038,0.167710554371052,-Inf
"55",0.01,3,3,0.4,10,0.264048852646502,0.155988006315051,-Inf
"56",0.05,3,3,0.4,10,0.24743597462828,0.145932236633965,-Inf
"57",0.1,3,3,0.4,10,0.253679871440108,0.145259786839693,-Inf
"58",0.15,3,3,0.4,10,0.248875387030213,0.1508602063282,-Inf
"59",0.2,3,3,0.4,10,0.240401356482498,0.144961299411655,-Inf
"60",0.25,3,3,0.4,10,0.242360817165666,0.1406631258675,-Inf
"61",0.3,3,3,0.4,10,0.253118905621021,0.142797154885323,-Inf
"62",0.35,3,3,0.4,10,0.245242268565286,0.141088393740153,-Inf
"63",0.4,3,3,0.4,10,0.258047115141846,0.151445503048178,-Inf
"64",0.01,6,3,0.4,10,0.261583878812317,0.153361508360118,-Inf
"65",0.05,6,3,0.4,10,0.255204017605845,0.150458747332248,-Inf
"66",0.1,6,3,0.4,10,0.259644297184047,0.156534243465174,-Inf
"67",0.15,6,3,0.4,10,0.252205315969819,0.1519209145472,-Inf
"68",0.2,6,3,0.4,10,0.257274628064644,0.158354533539457,-Inf
"69",0.25,6,3,0.4,10,0.248979821788872,0.148997217618314,-Inf
"70",0.3,6,3,0.4,10,0.256228544808062,0.149376993680039,-Inf
"71",0.35,6,3,0.4,10,0.255800198721562,0.151186604483215,-Inf
"72",0.4,6,3,0.4,10,0.243271629486854,0.145606476595894,-Inf
"73",0.01,9,3,0.4,10,0.258245454363825,0.152804387976964,-Inf
"74",0.05,9,3,0.4,10,0.253378885170823,0.148451553568374,-Inf
"75",0.1,9,3,0.4,10,0.25947917477236,0.155065266344465,-Inf
"76",0.15,9,3,0.4,10,0.245725182967659,0.145670285424913,-Inf
"77",0.2,9,3,0.4,10,0.257066564486435,0.154918950817288,-Inf
"78",0.25,9,3,0.4,10,0.23813887880112,0.145104128141979,-Inf
"79",0.3,9,3,0.4,10,0.264970589877671,0.161220786294123,-Inf
"80",0.35,9,3,0.4,10,0.232880561480442,0.142668327426972,-Inf
"81",0.4,9,3,0.4,10,0.250270861911276,0.147404710763701,-Inf
"82",0.01,3,4,0.4,10,0.265219339270436,0.158150303364926,-Inf
"83",0.05,3,4,0.4,10,0.256673183382129,0.153589511808195,-Inf
"84",0.1,3,4,0.4,10,0.250897342868183,0.144856004819966,-Inf
"85",0.15,3,4,0.4,10,0.256062956854364,0.145264442974038,-Inf
"86",0.2,3,4,0.4,10,0.25793862331159,0.156394197623443,-Inf
"87",0.25,3,4,0.4,10,0.259857642800584,0.1544248055045,-Inf
"88",0.3,3,4,0.4,10,0.262550775095167,0.163628969277831,-Inf
"89",0.35,3,4,0.4,10,0.268205560324189,0.16394324900087,-Inf
"90",0.4,3,4,0.4,10,0.256072990951171,0.146547454485742,-Inf
"91",0.01,6,4,0.4,10,0.265286263009413,0.157145070116894,-Inf
"92",0.05,6,4,0.4,10,0.250133293017297,0.150692528502177,-Inf
"93",0.1,6,4,0.4,10,0.245477394054306,0.145509418654203,-Inf
"94",0.15,6,4,0.4,10,0.251518451463181,0.151990383592959,-Inf
"95",0.2,6,4,0.4,10,0.262978893402068,0.154508444967168,-Inf
"96",0.25,6,4,0.4,10,0.231029943689114,0.134977071437923,-Inf
"97",0.3,6,4,0.4,10,0.248788857708518,0.145134035266041,-Inf
"98",0.35,6,4,0.4,10,0.26248127847294,0.159492494599093,-Inf
"99",0.4,6,4,0.4,10,0.246625442603082,0.144663134681987,-Inf
"100",0.01,9,4,0.4,10,0.265947322671958,0.16036429346845,-Inf
"101",0.05,9,4,0.4,10,0.259172057607223,0.153948892642322,-Inf
"102",0.1,9,4,0.4,10,0.258505987067113,0.150073513594649,-Inf
"103",0.15,9,4,0.4,10,0.270661995969571,0.16105262109622,-Inf
"104",0.2,9,4,0.4,10,0.240728072299765,0.147465070227192,-Inf
"105",0.25,9,4,0.4,10,0.258441520680021,0.149690028717865,-Inf
"106",0.3,9,4,0.4,10,0.263475625838875,0.167445431792415,-Inf
"107",0.35,9,4,0.4,10,0.267648423339776,0.157599676322943,-Inf
"108",0.4,9,4,0.4,10,0.274585380269935,0.15603703660404,-Inf
"109",0.01,3,5,0.4,10,0.266863263252082,0.158849599905898,-Inf
"110",0.05,3,5,0.4,10,0.259779080597281,0.152645746913348,-Inf
"111",0.1,3,5,0.4,10,0.248388309889699,0.146065130911092,-Inf
"112",0.15,3,5,0.4,10,0.256087142060336,0.151307626743176,-Inf
"113",0.2,3,5,0.4,10,0.252202363793029,0.1535232818829,-Inf
"114",0.25,3,5,0.4,10,0.250666128751976,0.147457852387144,-Inf
"115",0.3,3,5,0.4,10,0.254996723306234,0.151105441669262,-Inf
"116",0.35,3,5,0.4,10,0.256338920011763,0.155949467997101,-Inf
"117",0.4,3,5,0.4,10,0.265677338560318,0.158774915283059,-Inf
"118",0.01,6,5,0.4,10,0.261961635541883,0.155784437756706,-Inf
"119",0.05,6,5,0.4,10,0.256656986529924,0.154617838039907,-Inf
"120",0.1,6,5,0.4,10,0.252680044621488,0.148378016896165,-Inf
"121",0.15,6,5,0.4,10,0.25912803151376,0.154516895228171,-Inf
"122",0.2,6,5,0.4,10,0.244824762484734,0.152734348620208,-Inf
"123",0.25,6,5,0.4,10,0.248116873841985,0.156104872085428,-Inf
"124",0.3,6,5,0.4,10,0.268740652261354,0.1586564694524,-Inf
"125",0.35,6,5,0.4,10,0.270179191158497,0.157172678674413,-Inf
"126",0.4,6,5,0.4,10,0.249802496216405,0.156875420595441,-Inf
"127",0.01,9,5,0.4,10,0.267222413433981,0.159686124729886,-Inf
"128",0.05,9,5,0.4,10,0.257388710336749,0.15326310030722,-Inf
"129",0.1,9,5,0.4,10,0.254099348901477,0.154513830925212,-Inf
"130",0.15,9,5,0.4,10,0.25103174183951,0.14631992185321,-Inf
"131",0.2,9,5,0.4,10,0.265253738302591,0.157883244299513,-Inf
"132",0.25,9,5,0.4,10,0.265370751509814,0.153111929676603,-Inf
"133",0.3,9,5,0.4,10,0.254215866515859,0.145204895387367,-Inf
"134",0.35,9,5,0.4,10,0.256062517139877,0.145791088929292,-Inf
"135",0.4,9,5,0.4,10,0.239621534565188,0.145415465841431,-Inf
"136",0.01,3,1,0.5,10,0.260854584933503,0.155521307395513,-Inf
"137",0.05,3,1,0.5,10,0.247827197211682,0.1431891589127,-Inf
"138",0.1,3,1,0.5,10,0.244838910553036,0.147141129993256,-Inf
"139",0.15,3,1,0.5,10,0.244128328713618,0.14434738097397,-Inf
"140",0.2,3,1,0.5,10,0.258282996633978,0.152198296341787,-Inf
"141",0.25,3,1,0.5,10,0.252946705928692,0.145663504284952,-Inf
"142",0.3,3,1,0.5,10,0.244235095718035,0.150349162501198,-Inf
"143",0.35,3,1,0.5,10,0.269377792585167,0.148972502173217,-Inf
"144",0.4,3,1,0.5,10,0.25334465486296,0.143822725845614,-Inf
"145",0.01,6,1,0.5,10,0.256077119092583,0.149677787680005,-Inf
"146",0.05,6,1,0.5,10,0.24887892946816,0.148265751752608,-Inf
"147",0.1,6,1,0.5,10,0.248454226448925,0.144261262185597,-Inf
"148",0.15,6,1,0.5,10,0.254685768270975,0.152697962163091,-Inf
"149",0.2,6,1,0.5,10,0.244529182479862,0.146118122264486,-Inf
"150",0.25,6,1,0.5,10,0.252074138480864,0.141156674732717,-Inf
"151",0.3,6,1,0.5,10,0.262670330643308,0.153158835364018,-Inf
"152",0.35,6,1,0.5,10,0.255496853741214,0.141061471382236,-Inf
"153",0.4,6,1,0.5,10,0.257742024766455,0.155485932507087,-Inf
"154",0.01,9,1,0.5,10,0.26040671644002,0.154025990185119,-Inf
"155",0.05,9,1,0.5,10,0.252501123135844,0.145982799983527,-Inf
"156",0.1,9,1,0.5,10,0.249482451277448,0.14254384120746,-Inf
"157",0.15,9,1,0.5,10,0.24190954638076,0.143655925735428,-Inf
"158",0.2,9,1,0.5,10,0.257249578282915,0.150924814446077,-Inf
"159",0.25,9,1,0.5,10,0.24263172261635,0.141736509634459,-Inf
"160",0.3,9,1,0.5,10,0.273950035043383,0.164449608473454,-Inf
"161",0.35,9,1,0.5,10,0.258812456350633,0.146497471293387,-Inf
"162",0.4,9,1,0.5,10,0.249307726550875,0.148301244087325,-Inf
"163",0.01,3,2,0.5,10,0.259175572399319,0.154176692959034,-Inf
"164",0.05,3,2,0.5,10,0.248911583367764,0.141381893858244,-Inf
"165",0.1,3,2,0.5,10,0.249147197858106,0.147583234690006,-Inf
"166",0.15,3,2,0.5,10,0.25024832918954,0.144556750444539,-Inf
"167",0.2,3,2,0.5,10,0.254601440055826,0.151131420941891,-Inf
"168",0.25,3,2,0.5,10,0.252327198226984,0.138316653042411,-Inf
"169",0.3,3,2,0.5,10,0.268755327822188,0.151316229638084,-Inf
"170",0.35,3,2,0.5,10,0.245315162325901,0.145645415665282,-Inf
"171",0.4,3,2,0.5,10,0.255051327577989,0.147981014747075,-Inf
"172",0.01,6,2,0.5,10,0.256163776643078,0.152285030739396,-Inf
"173",0.05,6,2,0.5,10,0.253402335088966,0.152365749737179,-Inf
"174",0.1,6,2,0.5,10,0.244836295297416,0.147113409392832,-Inf
"175",0.15,6,2,0.5,10,0.254695718192073,0.148418258969342,-Inf
"176",0.2,6,2,0.5,10,0.256459868702622,0.152360921706625,-Inf
"177",0.25,6,2,0.5,10,0.261060851134386,0.151489172472889,-Inf
"178",0.3,6,2,0.5,10,0.267464467013921,0.14887378315564,-Inf
"179",0.35,6,2,0.5,10,0.268380796477485,0.151703062073584,-Inf
"180",0.4,6,2,0.5,10,0.264441724950188,0.152683427759873,-Inf
"181",0.01,9,2,0.5,10,0.255164808253916,0.150767676453061,-Inf
