county,CODE2023,CODE2013
Anderson,5.0,5.0
Andrews,5.0,5.0
Angelina,5.0,5.0
Aransas,3.0,3.0
Archer,4.0,4.0
Armstrong,3.0,3.0
Atascosa,2.0,2.0
Austin,2.0,2.0
Bailey,6.0,6.0
Bandera,2.0,2.0
Bastrop,2.0,2.0
Baylor,6.0,6.0
Bee,5.0,5.0
Bell,3.0,3.0
Bexar,1.0,1.0
Blanco,6.0,6.0
Borden,6.0,6.0
Bosque,3.0,6.0
Bowie,4.0,4.0
Brazoria,2.0,2.0
Brazos,3.0,4.0
Brewster,6.0,6.0
Briscoe,6.0,6.0
Brooks,5.0,6.0
Brown,5.0,5.0
Burleson,3.0,4.0
Burnet,6.0,6.0
Caldwell,2.0,2.0
Calhoun,5.0,5.0
Callahan,4.0,4.0
Cameron,3.0,3.0
Camp,5.0,6.0
Carson,3.0,3.0
Cass,6.0,6.0
Castro,6.0,6.0
Chambers,2.0,2.0
Cherokee,5.0,5.0
Childress,6.0,6.0
Clay,4.0,4.0
Cochran,3.0,6.0
Coke,6.0,6.0
Coleman,6.0,6.0
Collin,1.0,1.0
Collingsworth,6.0,6.0
Colorado,6.0,6.0
Comal,2.0,2.0
Comanche,6.0,6.0
Concho,6.0,6.0
Cooke,5.0,5.0
Coryell,3.0,3.0
Cottle,6.0,6.0
Crane,6.0,6.0
Crockett,6.0,6.0
Crosby,3.0,3.0
Culberson,6.0,6.0
Dallam,6.0,6.0
Dallas,1.0,1.0
Dawson,6.0,5.0
Deaf Smith,5.0,5.0
Delta,6.0,6.0
Denton,2.0,2.0
DeWitt,6.0,6.0
Dickens,6.0,6.0
Dimmit,6.0,6.0
Donley,6.0,6.0
Duval,6.0,6.0
Eastland,6.0,6.0
Ector,4.0,4.0
Edwards,6.0,6.0
Ellis,2.0,2.0
El Paso,3.0,3.0
Erath,5.0,5.0
Falls,3.0,3.0
Fannin,5.0,6.0
Fayette,6.0,6.0
Fisher,6.0,6.0
Floyd,5.0,6.0
Foard,6.0,6.0
Fort Bend,2.0,2.0
Franklin,6.0,6.0
Freestone,6.0,6.0
